Protein,Organism
"['Trs120p', 'Trs130p', 'Trs65p', 'Trs33p', 'Bet3p', 'Bet5p', 'Trs20p', 'Trs23p', 'Trs31p', 'Trs85p', 'TRAPP II is defined by the presence of Trs120p', 'Trs130p', 'and Trs65p', 'which distinguish it from TRAPP I.*']",Saccharomyces cerevisiae
"['Bet3p', 'Bet5p', 'Trs23p', 'Trs20p', 'Trs31p', 'Trs33p', 'Trs65p', 'Trs120p', 'Trs130p', 'Trs85p.']",Saccharomyces cerevisiae
"['Bet3p', 'Bet5p', 'Trs23p', 'Trs20p', 'Trs31p', 'Trs33p', 'Trs65p', 'Trs120p', 'Trs130p', 'Trs85p.']",Saccharomyces cerevisiae
"['Bet3p', 'Bet5p', 'Trs23p', 'Trs20p', 'Trs31p', 'Trs33p', 'Trs65p', 'Trs120p', 'Trs130p', 'Trs85p.']",Saccharomyces cerevisiae
"['Bet3p', 'Bet5p', 'Trs23p', 'Trs20p', 'Trs31p', 'Trs33p', 'Trs65p', 'Trs120p', 'Trs130p', 'Trs85p.']",Saccharomyces cerevisiae
"['CCM1', 'CCM2', 'and CCM3)']",Homo Sapiens
"['m-calpain catalytic subunit', 'calpain small regulatory subunit']",Homo Sapiens
"['m-calpain catalytic subunit', 'calpain small regulatory subunit']",Homo Sapiens
"['MRPS1', 'MRPS2', 'MRPS3', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS36', 'MRPS37', 'MRPS38', 'PTCD3', 'DAP3', 'METTL17', 'CHCHD1', 'ENSA', 'C1orf203']",Homo Sapiens
"['MRPS1', 'MRPS2', 'MRPS3', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS36', 'MRPS37', 'MRPS38', 'PTCD3', 'DAP3', 'METTL17', 'CHCHD1', 'ENSA', 'C1orf203']",Homo Sapiens
"['Mitochondrial ribosomal proteins of the small subunit', 'including but not limited to MRPS2', 'MRPS5', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A-C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS36', 'as well as the mitochondrial 12S rRNA.']",Homo Sapiens
"['Mitochondrial ribosomal proteins of the small subunit', 'including but not limited to MRPS2', 'MRPS5', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A-C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS36', 'as well as the mitochondrial 12S rRNA.']",Homo Sapiens
"['Mitochondrial ribosomal proteins of the small subunit', 'including but not limited to MRPS2', 'MRPS5', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A-C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS36', 'as well as the mitochondrial 12S rRNA.']",Homo Sapiens
"['Cardiac Troponin C', 'Cardiac Troponin I', 'Cardiac Troponin T']",Homo Sapiens
"['Troponin C type 1', 'Troponin I type 3', 'Troponin T type 2']",Homo Sapiens
"['Troponin C', 'cTnC', 'Troponin I', 'cardiac muscle isoform cTnI', 'Troponin T', 'cTnT']",Homo Sapiens
"['Troponin C', 'cTnC', 'Troponin I', 'cardiac muscle isoform cTnI', 'Troponin T', 'cTnT']",Homo Sapiens
