Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,COP9 Signalosome,Human,Mouse;  C. elegans;  Drosophila melanogaster,The COP9 Signalosome (CSN) is a key regulator of the ubiquitin-proteasome pathway. It is involved in the deneddylation of cullin-RING E3 ubiquitin ligases;  modulating their activity and thereby affecting various cellular processes such as cell cycle control;  DNA repair;  and development.,COP9 signalosome complex subunit 1 (CSN1);  COP9 signalosome complex subunit 2 (CSN2);  COP9 signalosome complex subunit 3 (CSN3);  COP9 signalosome complex subunit 4 (CSN4);  COP9 signalosome complex subunit 5 (CSN5);  COP9 signalosome complex subunit 6 (CSN6);  COP9 signalosome complex subunit 7 (CSN7);  COP9 signalosome complex subunit 8 (CSN8),COPS1;  COPS2;  COPS3;  COPS4;  COPS5;  COPS6;  COPS7A/COPS7B;  COPS8,0.955
contextual,COP9 Signalosome,Human,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The COP9 Signalosome is involved in the regulation of protein degradation via the ubiquitin-proteasome pathway. It acts as a deneddylase;  removing NEDD8 from cullin-RING E3 ubiquitin ligases;  thus modulating their ubiquitination activity.,COP9 signalosome complex subunit 1 (COPS1);  COP9 signalosome complex subunit 2 (COPS2);  COP9 signalosome complex subunit 3 (COPS3);  COP9 signalosome complex subunit 4 (COPS4);  COP9 signalosome complex subunit 5 (COPS5);  COP9 signalosome complex subunit 6 (COPS6);  COP9 signalosome complex subunit 7 (COPS7A or COPS7B);  COP9 signalosome complex subunit 8 (COPS8),COPS1;  COPS2;  COPS3;  COPS4;  COPS5;  COPS6;  COPS7A;  COPS7B;  COPS8,0.94
zero-shot,20S Proteasome,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The 20S proteasome is a crucial component of the ubiquitin-proteasome system;  responsible for degrading unneeded or damaged proteins by proteolysis;  a chemical reaction that breaks peptide bonds. This degradation process is vital for maintaining cellular homeostasis and regulating various cellular functions. The 20S proteasome functions as a proteolytic core;  confining the protease activities within its chamber to control the breakdown process.,The 20S proteasome in Saccharomyces cerevisiae is composed of 14 subunits arranged into a barrel-shaped complex made up of four stacked rings. The two outer rings consist of seven alpha subunits;  and the two inner rings consist of seven beta subunits. These subunits form a highly organized structure that allows the proteasome to process and degrade a variety of protein substrates.,In Saccharomyces cerevisiae;  the genes encoding the 20S proteasome subunits include:,1.00
few-shot,20S Proteasome,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The 20S proteasome is a core particle responsible for proteolysis;  degrading unneeded or damaged proteins by proteolysis;  which is a critical process in cellular regulation.,Alpha subunits (Pre6;  Pre8;  Pre9;  Pre10;  Pre11;  Pup1;  Pup2);  Beta subunits (Pre1;  Pre2;  Pre3;  Pup3;  Pre4;  Pre5;  Pre7),PRE6;  PRE8;  PRE9;  PRE10;  PRE11;  PUP1;  PUP2;  PRE1;  PRE2;  PRE3;  PUP3;  PRE4;  PRE5;  PRE7,0.9125
contextual,20S proteasome',Human',Mouse;  Saccharomyces cerevisiae;  C. elegans;  Drosophila melanogaster',The 20S proteasome is a core particle of the larger 26S proteasome complex responsible for degrading ubiquitinated proteins into peptides. It plays a crucial role in protein quality control;  cell cycle regulation;  and apoptosis.',Proteasome subunit alpha type-1;  Proteasome subunit alpha type-2;  Proteasome subunit alpha type-3;  Proteasome subunit alpha type-4;  Proteasome subunit alpha type-5;  Proteasome subunit alpha type-6;  Proteasome subunit beta type-1;  Proteasome subunit beta type-2;  Proteasome subunit beta type-3;  Proteasome subunit beta type-4;  Proteasome subunit beta type-5;  Proteasome subunit beta type-6;  Proteasome subunit beta type-7',PSMA1;  PSMA2;  PSMA3;  PSMA4;  PSMA5;  PSMA6;  PSMB1;  PSMB2;  PSMB3;  PSMB4;  PSMB5;  PSMB6;  PSMB7',0.94
zero-shot,HCN1-HCN4 Complex,Human,As of current knowledge;  the presence and functional study of the HCN1-HCN4 complex are predominantly focused in Humans;  and there is limited or negligible data to assert their functional role as a complex in Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae. Individual subunits might exist in these organisms;  but not necessarily the same functional complex.,The HCN1-HCN4 complex is involved in the regulation of cardiac and neuronal rhythmicity. It contributes to pacemaker potentials by generating and controlling the hyperpolarization-activated cyclic nucleotide-gated (HCN) channel activity;  which is crucial for electrical rhythmicity in cardiac tissues and certain neurons.,HCN1;  HCN4,HCN1 gene encodes for HCN1 protein;  and HCN4 gene encodes for HCN4 protein in Humans.,0.955
few-shot,HCN1-HCN4 complex',Human',Mouse',Forms part of the hyperpolarization-activated cyclic nucleotide-gated (HCN) channel family;  which is critical for controlling heart rate and neuronal excitability by conducting the pacemaker current (Ih or If) in the sinoatrial node of the heart and in neurons.',Hyperpolarization-activated cyclic nucleotide-gated channel 1;  Hyperpolarization-activated cyclic nucleotide-gated channel 4',HCN1;  HCN4',0.88
contextual,HCN1-HCN4 complex,Human,Mouse,Voltage-gated ion channels responsible for controlling the hyperpolarization-activated cyclic nucleotide-gated (HCN) currents;  particularly involved in heart rate regulation and neuronal excitability.,Hyperpolarization activated cyclic nucleotide gated channel 1;  Hyperpolarization activated cyclic nucleotide gated channel 4,HCN1;  HCN4,0.925
zero-shot,GRIN1-P2RY4 Complex,Not applicable;  as there is no known GRIN1-P2RY4 complex in any specific organism.,Not applicable;  since no such complex is identified across the specified organisms.,There is no known functional complex formed by GRIN1 and P2RY4. GRIN1;  often associated with the N-methyl-D-aspartate (NMDA) receptor complex;  plays a crucial role in synaptic plasticity and neuronal signaling in the central nervous system. P2RY4 is a G-protein-coupled receptor that typically responds to nucleotide binding;  influencing various signaling pathways. Currently;  there is no documented functional interaction between these proteins that forms a recognized complex specific to any organism.,Not applicable;  as no recognized protein complex exists for GRIN1 and P2RY4 jointly.,GRIN1 corresponds to the gene encoding the glutamate ionotropic receptor NMDA type subunit 1.; P2RY4 corresponds to the gene encoding the pyrimidinergic P2Y receptor 4.,0.675
few-shot,GRIN1-P2RY4 complex,Human,N/A,The GRIN1-P2RY4 complex potentially modulates synaptic transmission and signal transduction in the central nervous system.,Glutamate [NMDA] receptor subunit zeta-1;  P2Y purinoceptor 4,GRIN1;  P2RY4,0.84
contextual,GRIN1-P2RY4 complex',Human',N/A',This complex is involved in neurotransmission;  particularly in modulating synaptic plasticity and function via interactions with NMDA receptor activity and purinergic signaling.',Glutamate [NMDA] receptor subunit zeta-1;  P2Y purinoceptor 4',GRIN1;  P2RY4',0.925
zero-shot,LY96-TLR4 Complex,Human,Mouse,The LY96-TLR4 complex plays a crucial role in the innate immune system of humans. It is essential for the detection of lipopolysaccharides (LPS) found in the outer membrane of Gram-negative bacteria. The complex activates downstream signaling pathways that lead to the production of inflammatory cytokines;  thereby initiating an immune response to fight infections.,LY96 (also known as MD-2); TLR4 (Toll-like receptor 4),LY96 protein corresponds to the LY96 gene.; TLR4 protein corresponds to the TLR4 gene.,0.955
few-shot,LY96-TLR4 complex',Human',Mouse',This complex is primarily involved in the innate immune response;  particularly in the detection of bacterial lipopolysaccharide (LPS). It facilitates the signaling cascade that leads to the activation of pro-inflammatory cytokines.',Lymphocyte Antigen 96;  Toll-like receptor 4',LY96;  TLR4',0.9125
contextual,LY96-TLR4 complex,Human,Mouse,The LY96-TLR4 complex plays a critical role in the innate immune system by recognizing lipopolysaccharide (LPS) from Gram-negative bacteria and initiating a pro-inflammatory signaling cascade.,Lymphocyte antigen 96 (LY96 or MD-2);  Toll-like receptor 4 (TLR4),LY96;  TLR4,0.925
zero-shot,RAD6-RAD18 Ubiquitin Ligase Complex,Saccharomyces cerevisiae,The RAD6-RAD18 complex is also found in humans and Drosophila melanogaster;  indicating its evolutionary conservation across these species.,In Saccharomyces cerevisiae;  the RAD6-RAD18 ubiquitin ligase complex is primarily involved in post-replication DNA repair;  specifically in the error-prone translesion synthesis pathway and the error-free lesion bypass pathway. The complex facilitates the monoubiquitination of PCNA;  a process that is crucial for DNA damage tolerance.,The complex consists of two main proteins: Rad6 and Rad18.,The genes corresponding to these proteins in Saccharomyces cerevisiae are RAD6 and RAD18 respectively.,0.945
few-shot,RAD6-RAD18 ubiquitin ligase complex',Saccharomyces cerevisiae',Human;  Mouse;  C. elegans;  Drosophila melanogaster',This complex plays a critical role in post-replication repair and DNA damage tolerance by monoubiquitinating proliferating cell nuclear antigen (PCNA);  facilitating translesion DNA synthesis (TLS) and error-free damage avoidance.',E2 ubiquitin-conjugating enzyme RAD6;  E3 ubiquitin-protein ligase RAD18',RAD6;  RAD18',0.9499
contextual,RAD6-RAD18 ubiquitin ligase complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The RAD6-RAD18 ubiquitin ligase complex is involved in post-replication DNA repair. It catalyzes the monoubiquitination of proliferating cell nuclear antigen (PCNA);  promoting translesion synthesis and facilitating the DNA damage tolerance pathway.,Ubiquitin-conjugating enzyme E2 (RAD6);  E3 ubiquitin-protein ligase RAD18,RAD6;  RAD18,0.925
zero-shot,PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae (Baker's yeast),The PHO85-PHO80 CDK-cyclin complex is specific to Saccharomyces cerevisiae. Comparable complexes can function in other organisms;  but they involve different proteins and regulatory mechanisms.,The PHO85-PHO80 CDK-cyclin complex is involved in regulating the cell cycle in response to nutrient availability in Saccharomyces cerevisiae. It plays a critical role in phosphate metabolism;  transcription regulation;  and other cellular processes by phosphorylating target proteins;  which can lead to their activation or deactivation.,Pho85;  Pho80,PHO85 gene encodes the Pho85 protein.; PHO80 gene encodes the Pho80 protein.,1.00
few-shot,PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae,N/A,This complex plays a crucial role in regulating phosphate metabolism;  cellular response to phosphate starvation;  and cell cycle progression by phosphorylating target proteins in response to environmental signals.,Cyclin-dependent protein kinase PHO85;  Cyclin PHO80,PHO85;  PHO80,0.97
contextual,PHO85-PHO80 CDK-cyclin complex',Saccharomyces cerevisiae',N/A',This complex functions as a cyclin-dependent kinase (CDK) module that regulates the response to nutrient availability and environmental stresses by phosphorylating various substrates involved in gene expression;  cell cycle control;  and metabolic processes.',Cyclin-dependent kinase PHO85;  Cyclin PHO80',PHO85;  PHO80',0.955
zero-shot,DNA Polymerase ε (Polymerase Epsilon),Saccharomyces cerevisiae,Human;  Mouse,DNA polymerase ε is primarily involved in the leading strand synthesis during DNA replication. It also plays roles in DNA repair and maintaining genomic stability.,The DNA polymerase ε complex in Saccharomyces cerevisiae is comprised of four subunits: Pol2;  Dpb2;  Dpb3;  and Dpb4.,Pol2: Encoded by the POL2 gene; Dpb2: Encoded by the DPB2 gene; Dpb3: Encoded by the DPB3 gene; Dpb4: Encoded by the DPB4 gene,0.97
few-shot,DNA Polymerase Epsilon (ε) Complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,In Saccharomyces cerevisiae;  DNA polymerase epsilon is primarily responsible for leading-strand DNA synthesis during chromosomal replication. It plays a critical role in DNA repair and the maintenance of genomic stability.,Catalytic subunit Pol2;  Subunit Dpb2;  Subunit Dpb3;  Subunit Dpb4,POL2;  DPB2;  DPB3;  DPB4,0.925
contextual,DNA Polymerase Epsilon (Pol ε) Complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,Responsible for leading strand DNA synthesis during DNA replication and plays a critical role in DNA repair and chromosomal replication.,DNA polymerase epsilon catalytic subunit A (Pol2);  DNA polymerase epsilon subunit B (Dpb2);  DNA polymerase epsilon subunit C (Dpb3);  DNA polymerase epsilon subunit D (Dpb4),POL2;  DPB2;  DPB3;  DPB4,0.925
zero-shot,Golgi Transport Complex (also known as the COG Complex),Saccharomyces cerevisiae (Yeast),The Golgi Transport Complex is also found in humans (Homo sapiens);  mice (Mus musculus);  and Drosophila melanogaster.,The Golgi Transport Complex;  or Conserved Oligomeric Golgi (COG) Complex;  is critical in maintaining the structure and function of the Golgi apparatus. It is involved in vesicle tethering during intra-Golgi transport and plays a vital role in glycosylation by ensuring accurate protein and lipid transport within Golgi cisternae.,In Saccharomyces cerevisiae;  the COG complex is composed of eight core subunits traditionally grouped into two lobes:,COG1: YGL223C; COG2: YLR274W; COG3: YJL068C; COG4: YGL005C; COG5: YNL051W; COG6: YLR246W; COG7: YGL005C; COG8: YDL164C,0.97
few-shot,Golgi transport complex,Saccharomyces cerevisiae,Human;  Mouse,The Golgi transport complex;  also known as the conserved oligomeric Golgi (COG) complex;  is involved in the retrograde vesicular transport of proteins from the cis-Golgi back to the endoplasmic reticulum and within the Golgi itself. It plays a critical role in maintaining Golgi structure and function.,Sec34;  Sec35;  Cog2;  Cog3;  Cog4;  Cog5;  Cog6;  Cog7;  Cog8,SEC34;  SEC35;  COG2;  COG3;  COG4;  COG5;  COG6;  COG7;  COG8,0.9125
contextual,Golgi Transport Complex,Saccharomyces cerevisiae,Human;  Mouse,The Golgi transport complex;  also known as the Coat Protein Complex II (COPII);  plays a critical role in transporting proteins from the endoplasmic reticulum to the Golgi apparatus.,Sec13;  Sec23;  Sec24;  Sec31;  Sar1,SEC13;  SEC23;  SEC24;  SEC31;  SAR1,0.91
zero-shot,GPI-anchor transamidase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The GPI-anchor transamidase complex is essential for the post-translational modification of proteins;  where it facilitates the attachment of the glycosylphosphatidylinositol (GPI) anchor;  a glycolipid that tethers proteins to the cell membrane. This process is critical for protein sorting and function on the cell surface.,The GPI-anchor transamidase complex in Saccharomyces cerevisiae is composed of multiple subunits;  notably the proteins Gpi8p;  Gaa1p;  Gpi16p;  Gpi17p;  and Cdc91p.,The corresponding genes that encode these proteins are:,0.8975
few-shot,GPI-anchor transamidase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,This complex is involved in the attachment of glycosylphosphatidylinositol (GPI) anchors to proteins in the endoplasmic reticulum;  a critical post-translational modification essential for membrane anchoring of many proteins.,Gpi8p;  Gpi17p;  Gaa1p;  Gab1p,GPI8;  GPI17;  GAA1;  GAB1,0.9125
contextual,GPI-anchor transamidase complex',Saccharomyces cerevisiae',Human;  Mouse',This complex is primarily responsible for the post-translational modification where a GPI (glycosylphosphatidylinositol) anchor is attached to the C-terminus of a precursor protein;  facilitating its anchorage to the cell membrane.',Gpi8p;  Gaa1p;  Gpi16p;  Gab1p;  Cdc91p',GPI8;  GAA1;  GPI16;  GAB1;  CDC91',0.9125
zero-shot,Glycosylphosphatidylinositol-mannosyltransferase I complex,Saccharomyces cerevisiae,The GPI-MT I complex is also found in Humans and Drosophila melanogaster.,The Glycosylphosphatidylinositol-mannosyltransferase I (GPI-MT I) complex is involved in the initial steps of glycosylphosphatidylinositol (GPI) anchor biosynthesis. GPI anchors are glycolipids that tether proteins to the cell membrane and are crucial for various biological processes;  including signal transduction and cell adhesion.,In Saccharomyces cerevisiae;  the GPI-MT I complex primarily consists of the proteins Gpi18p and Gpi19p.,The corresponding genes for these proteins in Saccharomyces cerevisiae are GPI18 and GPI19.,0.94
few-shot,Glycosylphosphatidylinositol-mannosyltransferase I complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans,This complex is involved in the synthesis of glycosylphosphatidylinositol (GPI) anchors. It catalyzes the transfer of mannose to GPI on the cytoplasmic side of the endoplasmic reticulum.,GPI14 (also known as PIG-M in humans);  GPI1;  GPI7,GPI14;  GPI1;  GPI7,0.90
contextual,Glycosylphosphatidylinositol-mannosyltransferase I complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,This enzyme complex is responsible for catalyzing the addition of the first mannose residue to the GPI-anchor precursor during its biosynthesis;  a critical step in anchoring proteins to the cell membrane via a glycosylphosphatidylinositol (GPI) anchor.,Phosphatidylinositol glycan;  class T (PIG-T);  Glycosyltransferase 1 (GPI10);  etc.,CWH8;  GPI10;  and other associated genes involved in this complex,0.91
zero-shot,Dsl1 tethering complex,Saccharomyces cerevisiae,None,The Dsl1 tethering complex is involved primarily in mediating the tethering and fusion of transport vesicles at the endoplasmic reticulum (ER) membrane. It plays a crucial role in the retrograde transport from the Golgi back to the ER.,Dsl1p;  Sec39p;  Tip20p,DSL1;  SEC39;  TIP20,0.97
few-shot,Dsl1 tethering complex,Saccharomyces cerevisiae,Human;  Mouse,The Dsl1 tethering complex is involved in the retrograde transport from the Golgi to the endoplasmic reticulum (ER);  ensuring the proper targeting and fusion of vesicles.,Dsl1p;  Tip20p;  Sec39 (Dsl3p);  and Sec20p,DSL1;  TIP20;  SEC39;  SEC20,0.9125
contextual,Dsl1 tethering complex',Saccharomyces cerevisiae',Human;  Mouse;  C. elegans;  Drosophila melanogaster',The Dsl1 complex is involved in vesicle tethering;  specifically mediating the tethering of COPI-coated vesicles to the target membranes of the endoplasmic reticulum.',Dsl1p;  Tip20p;  Sec39p',DSL1;  TIP20;  SEC39',0.925
zero-shot,AP-1 Adaptor Complex,Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae,The AP-1 adaptor complex is involved in the trafficking of proteins between the trans-Golgi network and endosomes. It plays a key role in the formation of clathrin-coated vesicles by selecting cargo proteins for incorporation into these vesicles and facilitating their transport within the cell.,The AP-1 adaptor complex consists of four main subunits: gamma-adaptin (AP1G1);  beta-adaptin (AP1B1);  mu-adaptin (AP1M1);  and sigma-adaptin (AP1S1).,The corresponding genes for each protein in humans are:,0.97
few-shot,AP-1 adaptor complex (also known as HA1;  HA1 clathrin adaptor),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,This complex is primarily involved in the sorting of cargo proteins to different intracellular compartments. It plays a crucial role in clathrin-mediated vesicle formation;  aiding in the selection of cargo proteins at the trans-Golgi network and endosomes for delivery to various destinations within the cell.,In Saccharomyces cerevisiae;  the AP-1 adaptor complex is composed of the following subunits: Apl2p;  Apl4p;  Aps1p;  and Apy1p.,APL2;  APL4;  APS1;  APY1,0.9125
contextual,AP-1 adaptor complex (HA1;  HA1 clathrin adaptor)',Human',Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae',Involved in the transport of proteins between trans-Golgi network and endosomes;  playing a crucial role in the formation of clathrin-coated vesicles.',Adapter-related protein complex 1 subunit beta-1;  Adapter-related protein complex 1 subunit gamma-1;  Adapter-related protein complex 1 subunit mu-1;  Adapter-related protein complex 1 subunit sigma-1A',AP1B1;  AP1G1;  AP1M1;  AP1S1',0.91
zero-shot,PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,NA,The PAN1 actin cytoskeleton-regulatory complex is involved in the regulation of the actin cytoskeleton. It plays a critical role in actin filament organization and is involved in endocytosis processes by mediating the assembly of actin patches on the plasma membrane.,The complex primarily consists of protein components Pan1p and End3p in Saccharomyces cerevisiae. Pan1p is a key component and acts as a scaffold;  while End3p links Pan1p to the actin cytoskeleton during endocytosis.,Pan1p: PAN1; End3p: END3,0.91
few-shot,PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,N/A,This complex is involved in the regulation of the actin cytoskeleton;  playing a crucial role in endocytosis and cell signaling.,Pan1p;  End3p;  Sla1p,PAN1;  END3;  SLA1,0.925
contextual,PAN1 Actin Cytoskeleton-Regulatory Complex',Saccharomyces cerevisiae',N/A',This complex is involved in actin cytoskeleton organization;  which plays a crucial role in endocytosis and cell shape regulation.',Pan1p;  End3p;  Sla1p;  Sla2p;  Myo5p',PAN1;  END3;  SLA1;  SLA2;  MYO5',0.9125
zero-shot,AMPK Complex,Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae (though with some variations in complex structure and function),The AMP-activated protein kinase (AMPK) complex is a crucial regulator of cellular energy homeostasis. It is activated in response to an increase in the AMP/ATP ratio;  a marker of cellular energy stress;  and works to restore energy balance by promoting catabolic processes that generate ATP while inhibiting anabolic processes that consume ATP.,The human AMPK complex consists of three subunits: the catalytic alpha subunit (AMPKα);  the regulatory beta subunit (AMPKβ);  and the gamma subunit (AMPKγ) which helps sense the AMP/ATP ratio.,Alpha subunits: PRKAA1;  PRKAA2; Beta subunits: PRKAB1;  PRKAB2; Gamma subunits: PRKAG1;  PRKAG2;  PRKAG3,0.935
few-shot,AMPK complex',Human',Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae',The AMPK complex is a key regulator of energy balance at both the cellular and physiological level;  modulating metabolic pathways to maintain energy homeostasis.',AMP-activated protein kinase catalytic subunit alpha-1;  AMP-activated protein kinase catalytic subunit alpha-2;  AMP-activated protein kinase;  beta-1 non-catalytic subunit;  beta-2 non-catalytic subunit;  gamma-1 non-catalytic subunit;  gamma-2 non-catalytic subunit;  gamma-3 non-catalytic subunit',PRKAA1;  PRKAA2;  PRKAB1;  PRKAB2;  PRKAG1;  PRKAG2;  PRKAG3',0.91
contextual,AMPK complex,Human,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,AMPK (AMP-activated protein kinase) is an essential energy sensor in cells;  regulating cellular energy balance. It activates glucose and fatty acid uptake and oxidation when cellular energy is low;  providing a pivotal role in energy homeostasis.,AMPK is a heterotrimeric complex consisting of a catalytic subunit (α) and two regulatory subunits (β and γ).,PRKAA1/PRKAA2 (for the α subunit);  PRKAB1/PRKAB2 (for the β subunit);  PRKAG1/PRKAG2/PRKAG3 (for the γ subunit),0.925
zero-shot,Augmin Complex,Human,Mouse;  Drosophila melanogaster,The Augmin complex is involved in the nucleation of microtubules during spindle formation;  an essential process for proper cell division. It functions by recruiting γ-tubulin to the spindle microtubules;  facilitating the branching of existing microtubules.,The Augmin complex in humans consists of eight protein subunits: HAUS1;  HAUS2;  HAUS3;  HAUS4;  HAUS5;  HAUS6;  HAUS7;  and HAUS8.,The corresponding genes for these proteins are HAUS1 (C1orf87);  HAUS2 (KIAA0841);  HAUS3 (C4orf15);  HAUS4 (C14orf94);  HAUS5 (CFAP126;  CCDC99);  HAUS6 (CAMSAP3);  HAUS7 (C21orf62);  and HAUS8 (HICE1;  WDR26).,0.9425
few-shot,Augmin complex,Drosophila melanogaster,Human;  Mouse;  C. elegans,The Augmin complex is essential for microtubule nucleation and organization in mitotic and meiotic spindles. It facilitates the recruitment of the gamma-tubulin ring complex to the spindle microtubules;  which is crucial for the formation and stability of the spindle apparatus during cell division.,Augmin complex subunit enzymes;  including Dgt2-9 subunits,dgt2;  dgt3;  dgt4;  dgt5;  dgt6;  dgt7;  dgt8;  dgt9,0.92
contextual,Augmin complex,Drosophila melanogaster,Human;  Mouse;  C. elegans,The Augmin complex plays a critical role in microtubule organization by promoting the nucleation of new microtubules from existing ones;  which is essential for proper spindle assembly and accurate chromosome segregation during cell division.,Augmin complex subunit 1;  Augmin complex subunit 2;  Augmin complex subunit 3;  Augmin complex subunit 4;  Augmin complex subunit 5,Dgt2;  Dgt3;  Dgt5;  Dgt6;  Dgt7,0.925
zero-shot,Myb-MuvB transcriptional activation complex,Drosophila melanogaster,Human;  Mouse;  C. elegans,The Myb-MuvB transcriptional activation complex plays a crucial role in the regulation of gene expression during the cell cycle. It is involved in the transcriptional activation of various genes necessary for cell cycle progression;  particularly through the G1/S transition.,The complex is composed of several proteins;  including dMyb;  Mip130;  Mip120;  Mip40;  and Drosophila RBF (Retinoblastoma-family protein).,The corresponding genes for these proteins in Drosophila melanogaster are:,0.25
few-shot,Myb-MuvB transcriptional activation complex',Human',Mouse;  Drosophila melanogaster',The Myb-MuvB transcriptional activation complex is involved in the regulation of gene expression during cell cycle progression;  particularly in controlling the transition from the G1 to S phase and in regulating mitosis.',LIN9;  LIN37;  LIN52;  LIN54;  RBBP4;  B-MYB',LIN9;  LIN37;  LIN52;  LIN54;  RBBP4;  MYBL2',0.925
contextual,Myb-MuvB transcriptional activation complex,Human,Mouse;  Drosophila melanogaster,The Myb-MuvB complex is involved in the regulation of gene expression during the cell cycle;  particularly in promoting S-phase entry.,Myb proto-oncogene protein;  MuvB core complex components (LIN9;  LIN37;  LIN52;  LIN54;  RBBP4),MYB;  LIN9;  LIN37;  LIN52;  LIN54;  RBBP4,0.9175
zero-shot,CORVET tethering complex,Saccharomyces cerevisiae,The CORVET tethering complex is also found in humans and mice;  with variations in their specific components.,The CORVET tethering complex functions in endosomal tethering and fusion processes. It is primarily involved in the early stages of endosomal trafficking;  facilitating the docking and fusion of endosomes with each other and with lysosomes.,In Saccharomyces cerevisiae;  the CORVET complex is composed of the proteins Vps3;  Vps8;  Vps11;  Vps16;  Vps18;  Vps33;  and Vps41.,The corresponding genes for these proteins in Saccharomyces cerevisiae are VPS3;  VPS8;  VPS11;  VPS16;  VPS18;  VPS33;  and VPS41.,0.965
few-shot,CORVET tethering complex',Saccharomyces cerevisiae',Human;  Mouse;  C. elegans;  Drosophila melanogaster',The CORVET tethering complex is involved in the tethering of endosomal vesicles to each other or to other organelles;  regulating endocytic trafficking and functioning as a specific tether for Rab5-positive early endosomes.',Vps8;  Vps11;  Vps16;  Vps18;  Vps33;  Vps3;  Vps41',VPS8;  VPS11;  VPS16;  VPS18;  VPS33;  VPS3;  VPS41',0.925
contextual,CORVET tethering complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The CORVET tethering complex is involved in the early endosome fusion process. It functions primarily in tethering endosomal membranes and catalyzing the fusion of these vesicles.,Vac1;  Vps3;  Vps8;  Vps11;  Vps16;  Vps18;  Vps33;  Vps39,VAC1;  VPS3;  VPS8;  VPS11;  VPS16;  VPS18;  VPS33;  VPS39,0.925
zero-shot,Sodium leak channel (NALCN) complex,Human,Mouse,The NALCN complex functions as a sodium leak channel that is crucial for maintaining the resting membrane potential and controlling neuronal excitability. It allows a steady influx of sodium ions;  thus contributing to the regulation of electrical excitability in neurons.,The NALCN complex in humans primarily consists of the NALCN protein itself and its auxiliary subunits;  which include the proteins UNC79;  UNC80;  and FAM155A. These components work together to facilitate the channel's function and regulation.,The genes corresponding to the proteins in the NALCN complex of humans are:,0.97
few-shot,Sodium leak channel complex,Drosophila melanogaster,Human;  C. elegans,Voltage-gated ion channel responsible for the depolarizing sodium (Na+) leak currents that determine resting Na(+) permeability and control neuronal excitability. Functions downstream of the molecular circadian clock in pacemaker neurons to promote behavioral rhythmicity.,Protein unc-80 homolog;  Narrow abdomen isoform F;  Uncoordinated 79 isoform B,unc80;  na;  unc79,0.92
contextual,Sodium leak channel complex',Drosophila melanogaster',Human;  C. elegans',Voltage-gated ion channel responsible for the depolarizing sodium (Na+) leak currents that determine resting Na(+) permeability and control neuronal excitability. Functions downstream of the molecular circadian clock in pacemaker neurons to promote behavioral rhythmicity.',Protein unc-80 homolog;  Narrow abdomen isoform F;  Uncoordinated 79 isoform B',unc80;  na;  unc79',0.92
zero-shot,ATG1 Protein Kinase Complex,Saccharomyces cerevisiae,Drosophila melanogaster,The ATG1 protein kinase complex in *Saccharomyces cerevisiae* (budding yeast) is essential for the initiation of autophagy. It regulates the formation of autophagosomes by phosphorylating other autophagy-related proteins and facilitating their interactions;  thereby modulating the induction of autophagy pathways.,Atg1p;  Atg13p;  Atg17p;  Atg29p;  Atg31p,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,0.965
few-shot,ATG1 protein kinase complex',Saccharomyces cerevisiae',Human;  Mouse;  Drosophila melanogaster',The ATG1 protein kinase complex is vital for the initiation of autophagy;  a cellular degradation process that helps in the recycling of cellular components.',ATG1;  ATG13;  ATG17;  ATG29;  ATG31',ATG1;  ATG13;  ATG17;  ATG29;  ATG31',0.8975
