Model,Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
claude-3-5-haiku,zero-shot,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Homo sapiens (Human); 0.90 (focused primarily on human context),Saccharomyces cerevisiae;  Drosophila melanogaster,Regulation of lysosomal positioning and autophagosome-lysosome fusion during autophagy,MON1A (Mammalian MON1);  MON1B (Mammalian MON1);  CCZ1A (Mammalian CCZ1);  CCZ1B (Mammalian CCZ1); 0.80 (well-established gene-protein relationships),MON1A;  MON1B;  CCZ1A;  CCZ1B,0.8125
claude-3-5-haiku,few-shot,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Saccharomyces cerevisiae (Yeast); 0.90,Human;  Drosophila melanogaster,Plays a crucial role in autophagy and lysosomal trafficking by activating the HOPS (homotypic fusion and protein sorting) complex through guanyl-nucleotide exchange factor activity.,Mon1p;  Ccz1p; 1.00,MON1;  CCZ1,
claude-3-5-haiku,contextual,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Saccharomyces cerevisiae (Budding Yeast); 1.00 × 0.15 = 0.150,N/A (focusing on the most prominent organism),A guanyl-nucleotide exchange factor (GEF) complex involved in the regulation of late endosome and lysosome fusion;  specifically associated with the HOPS (homotypic fusion and protein sorting) complex and RILP (Rab-interacting lysosomal protein) trafficking.,Mon1 (Vacuolar protein trafficking protein); Ccz1 (Vacuolar protein trafficking protein); 1.00 × 0.25 = 0.250,MON1 (YDR256C); CCZ1 (YMR117C); Self Confidence Score Calculation:; Consistency of information: 0.90 × 0.30 = 0.270; Supporting experimental data: 0.85 × 0.30 = 0.255,0.925
claude-3-5-haiku,zero-shot,HipHop-HOAP telomere-capping complex,Drosophila melanogaster,None specifically identified,Maintains telomere integrity and protects chromosome ends from degradation and fusion,HipHop (Hitchhiker's protein); HOAP (Heterochromatin Organization Associated Protein),hip (HipHop); caravaggio (HOAP),0.83
claude-3-5-haiku,few-shot,HipHop-HOAP telomere-capping complex,Drosophila melanogaster,N/A,Protects chromosome ends and prevents telomere degradation and end-to-end fusion in Drosophila melanogaster,HipHop (Hitchhiker protein); HOAP (Heterochromatin Organization Associated Protein),hip (hitchhiker); caravaggio (HOAP encoding gene); Self Confidence Score Calculation:; Consistency of information (0.85 × 0.3) = 0.255; Supporting experimental data (0.80 × 0.3) = 0.240; Accuracy of protein-gene mapping (0.90 × 0.25) = 0.225; Organism-specific analysis (1.0 × 0.15) = 0.150,0.870
claude-3-5-haiku,contextual,HipHop-HOAP telomere-capping complex,Drosophila melanogaster; 1.00 × 0.15 = 0.150,N/A,Protects telomere ends and prevents chromosome fusion by acting as a protective protein complex at chromosome termini,HipHop (Hitchhiker's phosphoprotein); HOAP (Heterochromatin Organization Associated Protein); 0.95 × 0.25 = 0.238,hip (HipHop gene); carav (HOAP/Cav gene); Self Confidence Score Calculation:; Consistency across sources: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.90 × 0.30 = 0.270,0.913
claude-3-5-haiku,zero-shot,ZFP-1(AF10)/DOT-1 complex,C. elegans,None,Histone methyltransferase complex involved in chromatin modification and transcriptional regulation,ZFP-1 (AF10 ortholog); DOT-1 (Histone methyltransferase),zfp-1 (gene encoding ZFP-1); dot-1 (gene encoding DOT-1),0.75
claude-3-5-haiku,few-shot,ZFP-1(AF10)/DOT-1 complex,C. elegans,N/A,Histone methyltransferase complex involved in chromatin modification and transcriptional regulation;  specifically targeting H3K79 methylation,ZFP-1 (AF10 ortholog); DOT-1 (Histone methyltransferase),zfp-1; dot-1; Self Confidence Score Calculation:; Consistency across sources (0.7 × 0.3) = 0.21; Supporting experimental data (0.8 × 0.3) = 0.24; Protein-gene mapping accuracy (0.9 × 0.25) = 0.225; Organism specificity (1.0 × 0.15) = 0.15,0.825
claude-3-5-haiku,contextual,ZFP-1(AF10)/DOT-1 complex,C. elegans; 1.0 × 0.15 = 0.150,N/A,Histone methyltransferase complex involved in transcriptional regulation and chromatin modification;  specifically responsible for H3K79 methylation,ZFP-1 (AF10 ortholog); DOT-1 (Histone methyltransferase); 0.90 × 0.25 = 0.225,zfp-1; dot-1; Self Confidence Score Calculation:; Consistency of information across sources: 0.85 × 0.3 = 0.255; Supporting experimental data: 0.75 × 0.3 = 0.225,0.855
claude-3-5-haiku,zero-shot,ced-3-ced-4-mac-1 complex,C. elegans,None,Programmed cell death (apoptosis) initiation and regulation in C. elegans,CED-3 (Caspase); CED-4 (Adaptor protein); MAC-1 (Mitochondrial protein),ced-3; ced-4; mac-1; Self Confidence Score Calculation:; (Consistency across sources: 0.8 × 0.3) + (Experimental data: 0.7 × 0.3) + (Protein-gene mapping: 0.9 × 0.25) + (Organism specificity: 1.0 × 0.15); = 0.24 + 0.21 + 0.225 + 0.15; = 0.825,0.825
claude-3-5-haiku,few-shot,ced-3-ced-4-mac-1 complex,C. elegans; 1.00 × 0.15 = 0.150,N/A,This complex is involved in programmed cell death (apoptosis) in C. elegans;  specifically playing a crucial role in the cell death pathway during nematode development.,CED-3 (Caspase); CED-4 (Adaptor protein); MAC-1 (Mitochondrial protein); 1.00 × 0.25 = 0.250,ced-3; ced-4; mac-1; Self Confidence Score Calculation:; Consistency across sources: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.90 × 0.30 = 0.270,0.925
claude-3-5-haiku,contextual,ced-3-ced-4-mac-1 complex,C. elegans,N/A,This protein complex is crucial in programmed cell death (apoptosis) in C. elegans;  specifically involved in initiating and executing cellular suicide mechanisms during developmental processes.,CED-3 (Caspase); CED-4 (Adaptor protein); MAC-1 (Mitochondrial associated protein),ced-3; ced-4; mac-1; Self Confidence Score Calculation:; (0.87 × 0.3) + (0.82 × 0.3) + (0.95 × 0.25) + (1.0 × 0.15) = 0.261 + 0.246 + 0.2375 + 0.15 = 0.8945; Note: The confidence score reflects the strong specificity of this complex to C. elegans and the well-documented role of these proteins in apoptotic mechanisms in this organism.,
claude-3-5-haiku,zero-shot,Nuclear mitotic cohesin complex,Homo sapiens (Human),Saccharomyces cerevisiae;  Drosophila melanogaster,Maintains sister chromatid cohesion during cell division;  regulates chromosome segregation;  and supports DNA repair and gene regulation,SMC1A; SMC3; RAD21; STAG1/STAG2,SMC1A; SMC3; RAD21; STAG1; STAG2,0.855
claude-3-5-haiku,few-shot,Nuclear mitotic cohesin complex,Human,Mouse;  Saccharomyces cerevisiae,Responsible for sister chromatid cohesion during cell division;  chromosome organization;  and DNA repair;  playing a critical role in maintaining genomic stability during mitosis and meiosis.,SMC1A (Structural Maintenance of Chromosomes 1A); SMC3 (Structural Maintenance of Chromosomes 3); STAG1/STAG2 (Stromal Antigen 1/2); RAD21 (RAD21 Cohesin Complex Component),SMC1A; SMC3; STAG1; STAG2; RAD21,0.9425
claude-3-5-haiku,contextual,Nuclear mitotic cohesin complex,Human,Mouse;  Saccharomyces cerevisiae;  Drosophila melanogaster,Responsible for sister chromatid cohesion during cell division;  chromosome segregation;  and DNA repair by holding sister chromatids together from DNA replication until chromosome segregation,SMC1A (Structural Maintenance of Chromosomes 1A); SMC3 (Structural Maintenance of Chromosomes 3); STAG1/STAG2 (Stromal Antigen 1/2); RAD21 (RAD21 Cohesin Complex Component),SMC1A; SMC3; STAG1; STAG2; RAD21,0.95
claude-3-5-haiku,zero-shot,Atk-1/Akt-2/Sgk-1 Protein Kinase Complex,C. elegans; 0.15 × 0.9 = 0.135,None specifically identified,Regulation of cellular processes including cell survival;  proliferation;  metabolism;  and stress response through phosphorylation of downstream targets,Atk-1 (Protein Kinase B/Akt isoform); Akt-2 (Protein Kinase B/Akt isoform); Sgk-1 (Serum/Glucocorticoid-Regulated Kinase); 0.25 × 0.8 = 0.20,akt-1 (Protein Kinase B/Akt gene); akt-2 (Protein Kinase B/Akt gene); sgk-1 (Serum/Glucocorticoid-Regulated Kinase gene); Self Confidence Score Calculation:; Consistency of Information Score: 0.3 × 0.7 = 0.21; Supporting Experimental Data Score: 0.3 × 0.6 = 0.18,0.725
claude-3-5-haiku,few-shot,Atk-1/Akt-2/Sgk-1 protein kinase complex,C. elegans; 0.95 × 0.15 = 0.143,N/A,Serine/threonine protein kinase complex involved in cellular signaling;  particularly in stress response;  cell survival;  and metabolic regulation,Atk-1 (Protein kinase B/Akt-1); Akt-2 (Protein kinase B/Akt-2); Sgk-1 (Serum/glucocorticoid-regulated kinase); 0.90 × 0.25 = 0.225,akt-1; akt-2; sgk-1,0.848
claude-3-5-haiku,contextual,Atk-1/Akt-2/Sgk-1 protein kinase complex,C. elegans; 1.0 × 0.15 = 0.15,N/A (analysis focused specifically on C. elegans),A multi-protein serine/threonine protein kinase complex involved in cell survival;  proliferation;  metabolism;  and stress response signaling pathways,Atk-1 (Protein kinase B-1); Akt-2 (Protein kinase B-2); Sgk-1 (Serum/glucocorticoid-regulated kinase); 0.90 × 0.25 = 0.225,akt-1; akt-2; sgk-1,0.855
claude-3-5-haiku,zero-shot,RB1-E2F1-TFDP1 transcription repressor complex,Human; 1.00 (analysis focuses specifically on human protein complex),Mouse,Regulate cell cycle progression by repressing E2F-dependent transcription during G0/G1 phases;  preventing premature cell cycle entry,Retinoblastoma protein (RB1);  Transcription factor E2F1;  Transcription factor DP1; 0.95 (precise genomic location and well-documented gene-protein relationships),RB1 (chromosome 13q14.2);  E2F1 (chromosome 20q11.2);  TFDP1 (chromosome 13q12.2),0.90
claude-3-5-haiku,few-shot,RB1-E2F1-TFDP1 transcription repressor complex,Human; 1.00 × 0.15 = 0.150,Mouse,Regulates cell cycle progression by repressing E2F-dependent transcription during the G1 phase;  preventing inappropriate cell proliferation,Retinoblastoma-associated protein (RB1); Transcription factor E2F1; Transcription factor Dp-1 (TFDP1); 1.00 × 0.25 = 0.250,RB1; E2F1; TFDP1; Self Confidence Score Calculation:; Consistency across sources: 0.90 × 0.30 = 0.270; Supporting experimental data: 0.85 × 0.30 = 0.255,0.925
claude-3-5-haiku,contextual,RB1-E2F1-TFDP1 transcription repressor complex,Human,N/A,Regulates cell cycle progression by repressing E2F-dependent transcription during G1/S transition;  controlling cell proliferation and preventing inappropriate cell division,Retinoblastoma protein; Transcription factor E2F1; Transcription factor DP-1,RB1; E2F1; TFDP1,Analysis focused specifically on human cellular mechanisms
claude-3-5-haiku,zero-shot,PETISCO,C. elegans,None definitively identified,RNA interference (RNAi) regulation and small RNA processing,PID-1; Additional RNAi pathway proteins (not fully characterized),pid-1; Additional unspecified RNAi-related genes; Self Confidence Score Calculation:; 3 * (0.4 database consistency) + 0.3 * (0.5 experimental data) + 0.25 * (0.6 protein-gene mapping) + 0.15 * (0.7 organism specificity); = 0.12 + 0.15 + 0.15 + 0.105; = 0.525; The confidence score reflects limited but substantive information about this specific protein complex;  with moderate reliability across research sources. More focused research would be needed to increase precision and comprehensiveness of the analysis.,
claude-3-5-haiku,few-shot,,,,,,,
claude-3-5-haiku,contextual,,,,,,,0.15
claude-3-5-haiku,zero-shot,PETISCO;  tost-1 variant,C. elegans,None specifically identified,Involved in post-transcriptional gene regulation and RNA processing in C. elegans,TOSTEVIN-1 (TOST-1); PGL-1; CGH-1; DEPS-1,tost-1; pgl-1; cgh-1; deps-1; Self Confidence Score Calculation:; (Consistency across sources: 0.3 × 0.7) + (Experimental data: 0.3 × 0.6) + (Protein-gene mapping: 0.25 × 0.8) + (Organism specificity: 0.15 × 0.9) = 0.69,0.69
claude-3-5-haiku,few-shot,PETISCO;  tost-1 variant,N/A,,Unknown,Unknown,Unknown,0.065
claude-3-5-haiku,contextual,,,,,,,
claude-3-5-haiku,zero-shot,Ndc80 Complex,Saccharomyces cerevisiae,Human;  Drosophila melanogaster,Kinetochore-microtubule attachment and chromosome segregation during mitosis,Ndc80 (Hec1 in humans); Nuf2; Spc24; Spc25,NDC80; NUF2; SPC24; SPC25; Self Confidence Score Calculation:; (Consistency across sources: 0.9 * 0.3) + (Experimental data: 0.85 * 0.3) + (Protein-gene mapping: 0.95 * 0.25) + (Organism specificity: 1.0 * 0.15) = 0.90,0.90
claude-3-5-haiku,few-shot,Ndc80 complex,Saccharomyces cerevisiae (budding yeast); 0.90,Human;  Mouse;  Drosophila melanogaster;  C. elegans,A critical kinetochore protein complex essential for chromosome segregation during mitosis and meiosis;  responsible for attaching chromosomes to spindle microtubules during cell division.,Ndc80 (Hec1); Nuf2; Spc24; Spc25; 1.00,NDC80; NUF2; SPC24; SPC25; Self Confidence Score Calculation:; Consistency across databases (0.30 weight): 0.90; Supporting experimental data (0.30 weight): 0.95,
claude-3-5-haiku,contextual,Ndc80 complex,Saccharomyces cerevisiae (budding yeast); 1.00 × 0.15 = 0.150,Human;  Mouse;  Drosophila melanogaster;  C. elegans,Essential kinetochore complex that plays a critical role in chromosome segregation during mitosis and meiosis;  providing a structural link between microtubules and chromosomes during cell division.,Ndc80 (Hec1 in humans); Nuf2; Spc24; Spc25; 1.00 × 0.25 = 0.250,NDC80; NUF2; SPC24; SPC25; Self Confidence Score Calculation:; Consistency across sources: 0.95 × 0.30 = 0.285; Supporting experimental data: 0.90 × 0.30 = 0.270,0.955
claude-3-5-haiku,zero-shot,Kinetochore Mis12 Complex,Homo sapiens (Human),Saccharomyces cerevisiae;  Drosophila melanogaster,Kinetochore assembly and chromosome segregation during mitosis,MIS12; MINS12A; MINS12B; MINS12C; DSNT2,MIS12; MINS12A (KIAA1005); MINS12B (KIAA0825); MINS12C (KIAA0916); DSNT2 (NDC80),0.815
claude-3-5-haiku,few-shot,Kinetochore Mis12 complex,Human,Saccharomyces cerevisiae;  Drosophila melanogaster,A critical kinetochore protein complex essential for chromosome segregation during mitosis and meiosis;  responsible for establishing proper kinetochore-microtubule attachments and ensuring accurate chromosome alignment during cell division.,MIS12; MIND1; MIND2; MIND3; KNL1 (interacting partner),MIS12; MIND1; MIND2; MIND3; KNTC1 (KNL1),0.913
claude-3-5-haiku,contextual,Kinetochore Mis12 complex,Human; 1.0 × 0.15 = 0.150,N/A (focusing specifically on human complex),A critical component of the kinetochore that plays a crucial role in chromosome segregation during mitosis and meiosis;  responsible for establishing and maintaining proper chromosome-microtubule attachments during cell division.,MIS12; MINS1 (Mis12 Complex Subunit 1); MIND1; MIND2; KATNB1; 1.0 × 0.25 = 0.250,MIS12; MINS1; MIND1; MIND2; KATNB1; Self Confidence Score Calculation:; Consistency across sources: 0.93 × 0.30 = 0.279; Supporting experimental data: 0.90 × 0.30 = 0.270,0.949
claude-3-5-haiku,zero-shot,THO complex (THOC complex),Saccharomyces cerevisiae (budding yeast),Human;  Drosophila melanogaster,Facilitates mRNA export from the nucleus to the cytoplasm and plays a role in transcription elongation and mRNA quality control,Hpr1/THOC1; Tho2/THOC2; Mft1/THOC5; Thp2/THOC6; Tex1/THOC7,HPR1; THO2; MFT1; THP2; TEX1, and being specific to the primary organism of study (Saccharomyces cerevisiae).
claude-3-5-haiku,few-shot,THO complex,Saccharomyces cerevisiae (Budding Yeast); 0.90 × 0.15 = 0.135,Human;  Drosophila melanogaster,Plays a crucial role in mRNA export and transcription regulation;  facilitating the efficient transport of mRNAs from the nucleus to the cytoplasm and helping to prevent cryptic transcription.,Hpr1 (Transcription elongation factor); Tho2; Mft1; Thp2; Tex1; 0.95 × 0.25 = 0.238,HPR1; THO2; MFT1; THP2; TEX1; Self Confidence Score Calculation:; Consistency across sources: 0.90 × 0.30 = 0.270; Supporting experimental data: 0.85 × 0.30 = 0.255,0.898
claude-3-5-haiku,contextual,THO complex,Saccharomyces cerevisiae (budding yeast); 0.90 × 0.15 = 0.135,Human;  Drosophila melanogaster,Facilitates mRNA export from the nucleus by serving as a crucial component of the mRNA export machinery;  participating in transcription elongation;  and ensuring efficient gene expression,Hpr1 (THO1); Tho2; Mft1; Thp2; Tex1; 0.95 × 0.25 = 0.2375,HPR1; THO2; MFT1; THP2; TEX1; Self Confidence Score Calculation:; Consistency across sources: 0.90 × 0.30 = 0.27; Supporting experimental data: 0.85 × 0.30 = 0.255,0.8975
claude-3-5-haiku,zero-shot,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae; 0.15 * 1.00 = 0.150,None specifically identified,Mediates membrane fusion and vesicle trafficking between endosomal compartments in Saccharomyces cerevisiae,TLG2 (Syntaxin-like protein); VTI1 (Vesicle transport protein); TLG1 (Syntaxin-like protein); SNC2 (Synaptobrevin-like protein); 0.25 * 0.90 = 0.225,TLG2 (YER001W); VTI1 (YLR043C); TLG1 (YMR008C); SNC2 (YBR200W); Self Confidence Score Calculation:; Consistency across sources: 0.3 * 0.85 = 0.255; Supporting experimental data: 0.3 * 0.75 = 0.225,
claude-3-5-haiku,few-shot,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae,N/A,Facilitates membrane fusion and vesicle trafficking within the endosomal system;  specifically involved in intracellular protein sorting and transport between Golgi and endosomal compartments,TLG2 (syntaxin-like protein); VTI1 (vesicle transport protein); TLG1 (syntaxin-like protein); SNC2 (vesicle fusion protein),TLG2; VTI1; TLG1; SNC2, but slightly lower confidence in comprehensive experimental validation.
claude-3-5-haiku,contextual,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae (Budding yeast),N/A,Facilitates membrane fusion and vesicle trafficking within the endosomal system;  specifically involved in intracellular protein transport and sorting mechanisms,TLG2 (Syntaxin-like protein); VTI1 (Vesicle transport protein); TLG1 (Syntaxin-like protein); SNC2 (Synaptobrevin-like SNARE protein),TLG2 (YGL006W); VTI1 (YBR115C); TLG1 (YDR422C); SNC2 (YDR132C),0.9125
claude-3-5-haiku,zero-shot,Ste12/Dig1/Dig2 Transcription Regulation Complex,Saccharomyces cerevisiae; 0.15 * 1.00 = 0.15,None,Regulates mating and filamentation gene expression in response to pheromone signaling in the yeast mating pathway,Ste12 (Transcription factor); Dig1 (Negative regulator); Dig2 (Negative regulator); 0.25 * 0.95 = 0.2375,STE12; DIG1; DIG2; Self Confidence Score Calculation:; Consistency across sources: 0.3 * 0.9 = 0.27; Supporting experimental data: 0.3 * 0.85 = 0.255,0.91
claude-3-5-haiku,few-shot,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,N/A,Mediates mating and filamentous growth response in response to pheromone signaling in the yeast mating pathway,Ste12 (transcription factor); Dig1 (transcriptional repressor); Dig2 (transcriptional repressor),STE12; DIG1; DIG2; Self Confidence Score Calculation:; Consistency across sources (0.90 × 0.3) = 0.27; Supporting experimental data (0.85 × 0.3) = 0.255; Protein-gene mapping accuracy (0.95 × 0.25) = 0.2375; Organism specificity (1.0 × 0.15) = 0.15,0.9125
claude-3-5-haiku,contextual,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,N/A,Regulates mating and filamentation response in yeast by controlling gene expression during the MAPK signaling pathway,Ste12 (transcription factor); Dig1 (transcriptional regulator/scaffold protein); Dig2 (transcriptional repressor),STE12; DIG1; DIG2,Analysis is specifically focused on the most prominent organism for this complex
claude-3-5-haiku,zero-shot,TRAPP II Complex,Saccharomyces cerevisiae (Budding Yeast),Human;  Mouse,Plays a crucial role in membrane trafficking;  specifically in endoplasmic reticulum-to-Golgi vesicle tethering and early steps of protein transport,Bet3; Trs20; Trs23; Trs31; Trs33; Trs85; Trs120; Trs130,BET3; TRS20; TRS23; TRS31; TRS33; TRS85; TRS120; TRS130; Self Confidence Score Calculation:; (Consistency of sources: 0.3 × 0.85) + (Experimental support: 0.3 × 0.80) + (Protein-gene mapping accuracy: 0.25 × 0.90) + (Organism specificity: 0.15 × 0.95) = 0.855,0.855
claude-3-5-haiku,few-shot,TRAPP II complex,Saccharomyces cerevisiae (budding yeast); 1.00 × 0.15 = 0.150,N/A,A multi-subunit protein complex involved in vesicle tethering and trafficking;  specifically in endoplasmic reticulum-to-Golgi transport and autophagosome formation.,Bet3; Trs20; Trs23; Trs31; Trs33; Trs85 (unique to TRAPP II); 1.00 × 0.25 = 0.250,BET3; TRS20; TRS23; TRS31; TRS33; TRS85; Self Confidence Score Calculation:; Consistency across sources: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.90 × 0.30 = 0.270,0.925
claude-3-5-haiku,contextual,TRAPP II complex,Saccharomyces cerevisiae; 1.00,N/A,A multi-subunit protein complex involved in vesicle tethering and trafficking;  specifically crucial for endoplasmic reticulum-to-Golgi transport and autophagosome formation in yeast (Saccharomyces cerevisiae),Bet3; Trs20; Trs23; Trs31; Trs33; Trs85; Trs120; 1.00,BET3; TRS20; TRS23; TRS31; TRS33; TRS85; TRS120; Self Confidence Score Calculation:; Consistency across sources: 0.90; Supporting experimental data: 0.85,
claude-3-5-haiku,zero-shot,Cerebral Cavernous Malformation (CCM) Complex,Human,Mouse;  Drosophila melanogaster,Regulates endothelial cell junction stability;  vascular integrity;  and cell migration,KRIT1 (CCM1); CCM2 (MGC4607); PDCD10 (CCM3),KRIT1 (Chromosome 7q21.2); CCM2 (Chromosome 7p13); PDCD10 (Chromosome 3q26.1), particularly for the human CCM complex.
claude-3-5-haiku,few-shot,CCM complex,Human,Mouse,The CCM (Cerebral Cavernous Malformations) complex is a critical regulator of endothelial cell membrane dynamics;  cell migration;  and vascular integrity;  primarily involved in preventing abnormal blood vessel formation and maintaining proper vascular structure.,KRIT1 (Kinase Receptor-like In Testis 1); CCM2 (Cerebral Cavernous Malformations 2 protein); PDCD10 (Programmed Cell Death 10 protein),KRIT1 (CCM1); CCM2; PDCD10 (CCM3),1.0
claude-3-5-haiku,contextual,CCM Complex (Cerebral Cavernous Malformation Complex),Human; 1.00,Mouse,Regulates endothelial cell junction stability;  vascular morphogenesis;  and suppresses vascular lesion formation in the cerebral vasculature.,KRIT1 (Krev interaction trapped 1); CCM2 (Cerebral cavernous malformation 2); PDCD10 (Programmed Cell Death 10); 1.00,KRIT1 (CCM1); CCM2; PDCD10 (CCM3); Self Confidence Score Calculation:; Consistency across databases: 0.90; Supporting experimental data: 0.85,0.925
claude-3-5-haiku,zero-shot,mu-Calpain Complex,Human,Mouse,Calcium-dependent proteolytic enzyme responsible for protein degradation;  involved in signal transduction;  cell cycle regulation;  and apoptosis,Calpain-1 catalytic subunit (CAPN1); Calpain-1 regulatory subunit (CAPNS1),CAPN1 (Calpain-1 catalytic subunit); CAPNS1 (Calpain-1 regulatory subunit),0.80
claude-3-5-haiku,few-shot,μ-Calpain Complex,Human; 1.00 × 0.15 = 0.150,Mouse;  Rat,Calcium-dependent cysteine protease involved in intracellular protein proteolysis;  signal transduction;  cell cycle regulation;  and cellular remodeling processes,μ-Calpain catalytic subunit (CAPN1); μ-Calpain regulatory subunit (CAPN4); 0.95 × 0.25 = 0.238,CAPN1 (Calpain 1); CAPN4 (Calpain 4); Self Confidence Score Calculation:; Consistency across sources: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.90 × 0.30 = 0.270,0.913
claude-3-5-haiku,contextual,Mu-Calpain Complex,Human; 1.0 × 0.15 = 0.15,Mouse;  Drosophila melanogaster,Calcium-dependent intracellular cysteine protease involved in proteolytic protein degradation;  cell signaling;  cell cycle regulation;  and cytoskeletal remodeling,Calpain-1 (μ-calpain); Calcium-binding regulatory subunit; 0.95 × 0.25 = 0.2375,CAPN1 (encodes the catalytic subunit); CAPN4 (encodes the regulatory subunit); Self Confidence Score Calculation:; Consistency across databases: 0.90 × 0.30 = 0.27; Supporting experimental data: 0.85 × 0.30 = 0.255,0.9125
claude-3-5-haiku,zero-shot,GINS complex,Human,Saccharomyces cerevisiae;  Mouse,Essential for DNA replication initiation and progression during S-phase;  acts as a key component of the replicative helicase during chromosomal DNA replication,PSF1 (GINS1); PSF2 (GINS2); PSF3 (GINS3); PGS1 (GINS4),GINS1 (encoding PSF1); GINS2 (encoding PSF2); GINS3 (encoding PSF3); GINS4 (encoding PGS1),0.1425
claude-3-5-haiku,few-shot,GINS complex,Human; 1.0,Saccharomyces cerevisiae;  Drosophila melanogaster,Essential for DNA replication initiation and progression during S phase;  functioning as part of the CMG (Cdc45-MCM-GINS) helicase complex during DNA replication,GINS complex subunit PSF1 (PSF1); GINS complex subunit PSF2 (PSF2); GINS complex subunit PSF3 (PSF3); GINS complex subunit SLD5 (SLD5); 1.0,GINS1 (PSF1); GINS2 (PSF2); GINS3 (PSF3); GINS4 (SLD5); Self Confidence Score Calculation:; Consistency of information (0.3 weight): 0.95; Supporting experimental data (0.3 weight): 0.90,0.955
claude-3-5-haiku,contextual,GINS complex,Human; 0.95 × 0.15 = 0.143,S. cerevisiae;  C. elegans;  Drosophila melanogaster,Essential for DNA replication initiation and progression during chromosome replication;  acting as a key component of the replisome during S phase of the cell cycle.,GINS1 (PSF1); GINS2 (PSF2); GINS3 (PSF3); GINS4 (PSF4); 1.00 × 0.25 = 0.250,GINS1; GINS2; GINS3; GINS4; Self Confidence Score Calculation:; Consistency of information: 0.95 × 0.30 = 0.285; Supporting experimental data: 0.90 × 0.30 = 0.270,0.948
claude-3-5-haiku,zero-shot,CMG (Cdc45-MCM-GINS) Helicase Complex,Homo sapiens (Human),Saccharomyces cerevisiae,DNA replication initiation and unwinding during S-phase of cell cycle,Cdc45; MCM2; MCM3; MCM4; MCM5; MCM6; MCM7; GINS1 (Psf1); GINS2 (Psf2); GINS3 (Psf3); GINS4 (Ncb1),CDC45; MCM2; MCM3; MCM4; MCM5; MCM6; MCM7; GINS1; GINS2; GINS3; GINS4,0.878
claude-3-5-haiku,few-shot,CMG (Cdc45-MCM-GINS) Helicase Complex,Human,Saccharomyces cerevisiae;  Drosophila melanogaster,Essential DNA replication complex responsible for unwinding the DNA double helix during chromosome replication and DNA synthesis in eukaryotic cells,Cdc45 (Cell division cycle 45); MCM2-7 complex (Minichromosome maintenance proteins 2-7); GINS complex (Go-Ichi-Ni-San complex); GINS1 (Psf1); GINS2 (Psf2); GINS3 (Psf3); GINS4 (Sld5),CDC45; MCM2;  MCM3;  MCM4;  MCM5;  MCM6;  MCM7; GINS1;  GINS2;  GINS3;  GINS4,0.9125
claude-3-5-haiku,contextual,CMG (Cdc45-MCM-GINS) Helicase Complex,Human,Saccharomyces cerevisiae;  C. elegans,Essential for DNA replication initiation and elongation;  specifically unwinding the double-stranded DNA during the S phase of the cell cycle to enable DNA synthesis,CDC45 (Cell Division Cycle 45); MCM2 (Minichromosome Maintenance Complex Component 2); MCM3 (Minichromosome Maintenance Complex Component 3); MCM4 (Minichromosome Maintenance Complex Component 4); MCM5 (Minichromosome Maintenance Complex Component 5); MCM6 (Minichromosome Maintenance Complex Component 6); MCM7 (Minichromosome Maintenance Complex Component 7); GINS1 (GINS Complex Subunit 1); GINS2 (GINS Complex Subunit 2); GINS3 (GINS Complex Subunit 3); GINS4 (GINS Complex Subunit 4),CDC45; MCM2; MCM3; MCM4; MCM5; MCM6; MCM7; GINS1 (SELVL); GINS2 (PCMTD1); GINS3 (MCTS1); GINS4 (C14ORF80),0.929
claude-3-5-haiku,zero-shot,20S Mitochondrial Small Ribosomal Subunit,Saccharomyces cerevisiae (Budding Yeast),None specifically identified,Protein synthesis within mitochondrial matrix;  specifically translating mitochondrial mRNAs into proteins essential for oxidative phosphorylation,Rps0 (Small Ribosomal Protein); Rps1 (Small Ribosomal Protein); Rps2 (Small Ribosomal Protein); Rps3 (Small Ribosomal Protein); Rps4 (Small Ribosomal Protein); Rps5 (Small Ribosomal Protein); Rps6 (Small Ribosomal Protein); Rps7 (Small Ribosomal Protein),MRPS0; MRPS1; MRPS2; MRPS3; MRPS4; MRPS5; MRPS6; MRPS7; Self Confidence Score Calculation:; (0.3 * 0.85) + (0.3 * 0.75) + (0.25 * 0.80) + (0.15 * 0.90) = 0.81,
