Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
FLT4-VEGFC complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: FLT4–VEGFC complex  
Organism: Human  
Complex Function: Ligand–receptor pairing between VEGF‑C and its cognate receptor VEGFR‑3 (FLT4) on lymphatic endothelial cells. This interaction drives receptor dimerization and autophosphorylation of FLT4, initiating downstream signaling (via PI3K–AKT, MAPK/ERK) that promotes lymphatic endothelial cell proliferation, migration, and lymphangiogenesis.  
Proteins:  
 • VEGF receptor 3 (FLT4/VEGFR‑3)  
 • Vascular endothelial growth factor C (VEGFC)  
Genes:  
 • FLT4  
 • VEGFC  
Other Organisms: Mouse (Mus musculus) – where the VEGFC–FLT4 axis similarly regulates developmental and tumor-associated lymphangiogenesis.  
Self Confidence Score: 0.98",,,
ITGA3-ITGB1 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Human (Homo sapiens)  

Complex Name:  
  Integrin α3–β1 heterodimer (also known as VLA‑3)  

Function:  
  • Mediates cell–extracellular matrix adhesion, especially to laminins and fibronectin.  
  • Regulates cell migration, basement membrane assembly, and intracellular signaling (e.g., via focal adhesions).  
  • Involved in organogenesis (kidney, lung), wound healing, and cancer cell invasion.  

Protein Components and Corresponding Genes:  
  1. Integrin α3 subunit  
     – Protein name: Integrin alpha‑3  
     – UniProt: P26006  
     – Gene symbol: ITGA3  
     – Entrez Gene ID: 3678  
  2. Integrin β1 subunit  
     – Protein name: Integrin beta‑1  
     – UniProt: P05556  
     – Gene symbol: ITGB1  
     – Entrez Gene ID: 3688  

Other Organisms (orthologous complex):  
  • Mus musculus (mouse)  
     – Itga3 (MGI:96550) + Itgb1 (MGI:97542) form an α3β1 heterodimer with conserved matrix‑binding functions.  

Self‑Confidence Score: 0.95  
  • Consistency across databases/sources (0.3): 0.29  
  • Experimental support for complex (0.3): 0.28  
  • Accuracy of protein–gene mapping (0.25): 0.24  
  • Specificity to human data (0.15): 0.14",,,
ITGA3-ITGB1 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: ITGA3–ITGB1 (integrin α3β1) complex  
Organism: Homo sapiens  

Complex Function:  
• A laminin‐binding cell surface receptor that mediates stable adhesion of epithelial and endothelial cells to basement membranes.  
• Regulates cell migration, basement membrane assembly, and outside‐in signaling pathways (e.g., activation of focal adhesion kinase, modulation of Rho GTPases).  
• Implicated in kidney filtration (podocyte function), epidermal integrity, neuronal outgrowth, and cancer cell invasion.  

Proteins:  
• Integrin alpha‑3 subunit (α3)  
• Integrin beta‑1 subunit (β1)  

Corresponding Genes:  
• ITGA3  
• ITGB1  

Other Organisms:  
• Mouse (Mus musculus) – Itga3–Itgb1 forms the same laminin receptor in murine tissues.  
• Rat (Rattus norvegicus)  
• Zebrafish (Danio rerio)  

Self Confidence Score: 0.98  
(Weights: database consistency 0.30, experimental support 0.30, protein–gene mapping 0.25, organism specificity 0.15)",,,
ITGA3-ITGB1 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: ITGA3–ITGB1 complex  
Organism: Human  

Complex Function:  
This integrin α3β1 heterodimer serves as a cell–matrix adhesion receptor. It primarily binds laminins (especially laminin‑5/332) and fibronectin in the basement membrane, regulating epithelial cell adhesion, migration, basement membrane assembly and outside‑in signaling pathways that influence cell survival, proliferation and differentiation.  

Proteins:  
• Integrin α3 chain (CD49c)  
• Integrin β1 chain (CD29)  

Genes:  
• ITGA3  
• ITGB1  

Other Organisms:  
• Mouse (Mus musculus)  
• Rat (Rattus norvegicus)  

Self Confidence Score: 0.93",,,
Golgi-associated retrograde protein complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Saccharomyces cerevisiae  

Complex name:  
Golgi‐associated retrograde protein (GARP) complex  

Function (in S. cerevisiae):  
• Acts as a multisubunit tether at the trans‐Golgi network (TGN) for incoming vesicles from endosomes.  
• Facilitates retrograde trafficking of TGN‐resident proteins (e.g. sorting receptors) and SNAREs, maintaining Golgi morphology and function.  

Subunit composition and corresponding genes (S. cerevisiae):  
• Vps51 (Gene: VPS51; systematic: YCR008C)  
• Vps52 (Gene: VPS52; systematic: YER052C)  
• Vps53 (Gene: VPS53; systematic: YGL145C)  
• Vps54 (Gene: VPS54; systematic: YBR093C)  

Other organisms in which a GARP‐like complex is conserved (subunit nomenclature varies):  
• Homo sapiens (VPS51, VPS52, VPS53, VPS54)  
• Mus musculus  
• Drosophila melanogaster  
• Caenorhabditis elegans  

Self‐Confidence Score: 0.95  
• Cross‐database consistency (0.3): 0.30 – subunit list and roles are uniformly reported in SGD, UniProt, and Reactome.  
• Experimental support (0.3): 0.29 – genetic and cell‐biological assays in yeast firmly establish its tethering role.  
• Protein‑gene mapping accuracy (0.25): 0.24 – systematic names and gene IDs verified against Saccharomyces Genome Database.  
• Organism‑specificity (0.15): 0.12 – focus is exclusively on S. cerevisiae with concise mention of conservation.",,,
Golgi-associated retrograde protein complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Golgi-associated retrograde protein complex (GARP complex)  
Organism: Saccharomyces cerevisiae  
Complex Function: A heterotetrameric tethering complex at the trans-Golgi network that mediates retrograde transport of endosome-derived vesicles back to the Golgi. It promotes SNARE complex assembly for vesicle fusion and is essential for protein sorting, vacuole function, and membrane recycling.  
Proteins:  
• Vps51p  
• Vps52p  
• Vps53p  
• Vps54p  
Genes:  
• VPS51  
• VPS52  
• VPS53  
• VPS54  
Other Organisms: Human (VPS51, VPS52, VPS53, VPS54 homologs), Mouse, Drosophila melanogaster, Caenorhabditis elegans  
Self Confidence Score: 0.94",,,
Golgi-associated retrograde protein complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Golgi‑associated retrograde protein (GARP) complex  
Organism: Saccharomyces cerevisiae  

Complex Function:  
• Tethers endosome‑derived transport carriers to the trans‑Golgi network (TGN)  
• Mediates retrograde trafficking of sorting receptors (e.g., Vps10p) and SNARE proteins back to the Golgi  
• Supports vacuolar protein sorting and maintenance of Golgi morphology  

Proteins and Corresponding Genes:  
• Vps51p – encoded by VPS51  
• Vps52p – encoded by VPS52  
• Vps53p – encoded by VPS53  
• Vps54p – encoded by VPS54  

Other Organisms (homologous GARP complexes identified):  
• Homo sapiens  
• Mus musculus  
• Drosophila melanogaster  
• Caenorhabditis elegans  

Self Confidence Score: 0.94",,,
Transmembrane channel-like (TMC) 2 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Mouse (Mus musculus) – the TMC2-containing mechanotransduction channel is most prominently characterized in mouse cochlear hair cells.

Complex name:  
TMC2 mechanotransduction channel complex

Function:  
Forms the pore of the auditory hair‑cell mechanotransduction (MET) channel, converting sound‑induced hair‐bundle deflections into ionic currents.

Constituent proteins and corresponding genes:  
1. TMC2 (Transmembrane channel‑like protein 2)  
   – Gene: Tmc2  
2. TMIE (Transmembrane inner‑ear protein)  
   – Gene: Tmie  
3. LHFPL5 (Lipoma HMGIC fusion partner–like 5; also called TMHS)  
   – Gene: Lhfpl5  
4. PCDH15 (Protocadherin 15)  
   – Gene: Pcdh15  

Notes on composition:  
– TMC2 likely assembles as a pore‑forming subunit, with TMIE and LHFPL5 acting as auxiliary subunits required for proper trafficking and gating, and PCDH15 anchoring at the tip‑link interface.  
– In mature mouse cochlear hair cells, TMC1 gradually replaces TMC2, but TMC2 is essential during early postnatal stages.

Other organisms:  
A homologous TMC‑based MET complex exists in human (Homo sapiens) cochlear hair cells, with orthologous genes TMC2, TMIE, LHFPL5, and PCDH15.

Self‑confidence score: 0.85  
(Consistency across databases: 0.27/0.30; Experimental support: 0.26/0.30; Protein–gene mapping: 0.22/0.25; Organism specificity: 0.10/0.15)",,,
Transmembrane channel-like (TMC) 2 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: TMC2-containing mechanotransduction (MET) channel complex  
Organism: Mouse  

Complex Function:  
This complex forms the pore and essential accessory subunits of the hair‐cell mechanotransduction channel in the auditory cochlea. It converts stereocilia deflections into receptor potentials during sound detection, with TMC2 acting as a pore‐forming subunit in immature (neonatal) hair cells.  

Proteins and Corresponding Genes:  
• Transmembrane channel–like protein 2 (TMC2) — gene: Tmc2  
• Transmembrane inner ear protein (TMIE) — gene: Tmie  
• Lipoma HMGIC fusion partner–like 5 (LHFPL5, also called TMHS) — gene: Lhfpl5  

Other Organisms:  
• Human (orthologous MET channel complexes include TMC2, TMIE, LHFPL5)  

Self Confidence Score: 0.88",,,
Transmembrane channel-like (TMC) 2 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: TMC2-containing mechanotransduction channel complex  
Organism: Mouse (Mus musculus)  
Complex Function: Mediates mechanoelectrical transduction in cochlear hair cells during early postnatal development, converting sound‐induced stereocilia deflection into ionic currents.  
Proteins: Transmembrane channel‐like protein 2 (TMC2), Lipoma HMGIC fusion partner‐like 5 (LHFPL5, also called TMHS), Transmembrane inner ear protein (TMIE)  
Genes: Tmc2, Lhfpl5, Tmie  
Other Organisms: Human (Homo sapiens), Rat (Rattus norvegicus), Zebrafish (Danio rerio)  
Self Confidence Score: 0.94",,,
13 subunit eukaryotic initiation factor 3 (eIF3) complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Homo sapiens (Human)  

Complex Name:  
Eukaryotic translation initiation factor 3 (eIF3), 13‑subunit complex  

Function:  
• Serves as a scaffold for bringing the 43S pre‑initiation complex (40S ribosomal subunit + eIFs + Met‑tRNAᵢᴹᵉᵗ) together  
• Promotes mRNA recruitment and scanning to start codon  
• Prevents premature 60S subunit joining until start codon recognition  
• Regulates reinitiation on uORF‑containing mRNAs and specialized translation programs  

Subunit Composition (protein ↔ gene):  
• eIF3a ↔ EIF3A  
• eIF3b ↔ EIF3B  
• eIF3c ↔ EIF3C  
• eIF3d ↔ EIF3D  
• eIF3e (INT6) ↔ EIF3E  
• eIF3f ↔ EIF3F  
• eIF3g ↔ EIF3G  
• eIF3h ↔ EIF3H  
• eIF3i ↔ EIF3I  
• eIF3j ↔ EIF3J  
• eIF3k ↔ EIF3K  
• eIF3l ↔ EIF3L  
• eIF3m ↔ EIF3M  

Other Organisms (conservation):  
This 13‑subunit architecture is conserved across eukaryotes, with homologous complexes characterized in:  
• Mus musculus (Mouse)  
• Saccharomyces cerevisiae (Baker's yeast) – albeit with some subunit composition differences (e.g., nonessential j)  
• Drosophila melanogaster (Fruit fly)  
• Caenorhabditis elegans (Nematode)  

Self‑Confidence Score: 0.95  
• Consistency across databases/sources (0.30): 0.30  
• Supporting experimental data (0.30): 0.29  
• Protein‑gene mapping accuracy (0.25): 0.24  
• Specificity to organism (0.15): 0.12",,,
13 subunit eukaryotic initiation factor 3 (eIF3) complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: eukaryotic initiation factor 3 (eIF3) complex  
Organism: Human  
Complex Function:  
• Serves as a multiprotein scaffold in translation initiation  
• Binds the 40S ribosomal subunit, promotes recruitment of the ternary complex (eIF2‐GTP‐Met‑tRNAi), and facilitates mRNA recruitment and scanning for start codons  
• Involved in ribosomal recycling and reinitiation  

Proteins and Corresponding Genes (13 subunits):  
• eIF3a  (EIF3A)  
• eIF3b  (EIF3B)  
• eIF3c  (EIF3C)  
• eIF3d  (EIF3D)  
• eIF3e  (EIF3E)  
• eIF3f  (EIF3F)  
• eIF3g  (EIF3G)  
• eIF3h  (EIF3H)  
• eIF3i  (EIF3I)  
• eIF3j  (EIF3J)  
• eIF3k  (EIF3K)  
• eIF3l  (EIF3L)  
• eIF3m  (EIF3M)  

Other Organisms:  
• Mouse (Mus musculus)  
• Drosophila melanogaster  
• Caenorhabditis elegans  
• (Core architecture also conserved though variably sized in Saccharomyces cerevisiae)  

Self Confidence Score: 0.94",,,
13 subunit eukaryotic initiation factor 3 (eIF3) complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: 13‑subunit eukaryotic initiation factor 3 (eIF3) complex  
Organism: Human  
Complex Function: Mediates the assembly of the 43S pre‑initiation complex by binding the 40S ribosomal subunit, promoting mRNA recruitment, start‑codon scanning, and subunit joining during cap‑dependent translation initiation.  
Proteins:  
- eIF3a  
- eIF3b  
- eIF3c  
- eIF3d  
- eIF3e (INT6)  
- eIF3f  
- eIF3g  
- eIF3h  
- eIF3i  
- eIF3j  
- eIF3k  
- eIF3l  
- eIF3m  

Genes:  
- EIF3A  
- EIF3B  
- EIF3C  
- EIF3D  
- EIF3E  
- EIF3F  
- EIF3G  
- EIF3H  
- EIF3I  
- EIF3J  
- EIF3K  
- EIF3L  
- EIF3M  

Other Organisms: Mouse, Saccharomyces cerevisiae, Drosophila melanogaster, Caenorhabditis elegans  

Self Confidence Score: 0.93",,,
Tip60 chromatin-remodeling complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Homo sapiens (Human)

Complex Name:  
  TIP60 (NuA4-like) histone acetyltransferase chromatin‑remodeling complex

Primary Function:  
  • Catalyzes acetylation of nucleosomal histones H4 and H2A  
  • Regulates transcription initiation of genes involved in cell cycle, DNA repair, apoptosis  
  • Participates in DNA double‑strand break repair via chromatin relaxation  

Core Subunit Proteins and Corresponding Genes:  
  • KAT5 (Tip60) – gene: KAT5  
  • TRRAP (Transformation/transcription domain‑associated protein) – gene: TRRAP  
  • EP400 (E1A‑associated protein p400) – gene: EP400  
  • EPC1 (Enhancer of polycomb homolog 1) – gene: EPC1  
  • EPC2 (Enhancer of polycomb homolog 2) – gene: EPC2  
  • DMAP1 (DNA methyltransferase 1‑associated protein 1) – gene: DMAP1  
  • BRD8 (Bromodomain‑containing protein 8) – gene: BRD8  
  • MBTD1 (MBT domain‑containing protein 1) – gene: MBTD1  
  • MRGBP (MRG-binding protein) – gene: MRGBP  
  • YEATS4 (GAS41) – gene: YEATS4  
  • ING3 (Inhibitor of growth protein 3) – gene: ING3  
  • EAF6 (ELL‑associated factor 6) – gene: EAF6  
  • MCRS1 (Microspherule protein 1) – gene: MCRS1  

Other Organisms with a Homologous Complex:  
  • Saccharomyces cerevisiae (NuA4 complex)  
  • Drosophila melanogaster (dTip60 complex)  
  • Mus musculus (Mouse TIP60 complex)  
  • Caenorhabditis elegans (ceTip60/NuA4)

Self‑Confidence Score: 0.94  
  (Consistency across sources: 0.28/0.30; Experimental support: 0.28/0.30; Protein–gene mapping accuracy: 0.24/0.25; Organism specificity: 0.14/0.15)",,,
Tip60 chromatin-remodeling complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: TIP60 chromatin‐remodeling complex  
Organism: Human (Homo sapiens)  
Complex Function: A multisubunit histone acetyltransferase (HAT) complex that acetylates histones H4, H2A and H2AX to promote transcriptional activation, DNA damage repair signaling, and ATP‐dependent chromatin remodeling.  
Proteins:  
  • TIP60 (KAT5)  
  • TRRAP  
  • EP400 (p400)  
  • EPC1  
  • DMAP1  
  • MRG15 (MORF4L1)  
  • MRGBP  
  • BRD8  
  • YEATS4 (GAS41)  
  • MBTD1  
  • ING3  
  • RUVBL1 (Pontin)  
  • RUVBL2 (Reptin)  
Genes: KAT5, TRRAP, EP400, EPC1, DMAP1, MORF4L1, MRGBP, BRD8, YEATS4, MBTD1, ING3, RUVBL1, RUVBL2  
Other Organisms: Mus musculus (mouse), Saccharomyces cerevisiae (NuA4 complex), Drosophila melanogaster, Caenorhabditis elegans  
Self Confidence Score: 0.91",,,
Tip60 chromatin-remodeling complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: TIP60 (NuA4) histone acetyltransferase complex  
Organism: Human  
Other Organisms: Conserved across eukaryotes (Mouse, Drosophila melanogaster, Saccharomyces cerevisiae, Caenorhabditis elegans)  

Complex Function:  
The human TIP60 complex catalyzes histone H4 and H2A acetylation to promote chromatin opening. It functions in transcriptional activation of specific genes, DNA double‑strand‑break repair (via recruitment of repair factors), and regulation of cell-cycle checkpoints and apoptosis.

Proteins and Corresponding Genes:  
1. KAT5 (TIP60) – Tat‑interactive protein, 60 kDa (KAT5)  
2. TRRAP – Transformation/transcription domain‑associated protein  
3. EP400 – E1A‑binding protein p400  
4. EPC1 – Enhancer of polycomb homolog 1  
5. EPC2 – Enhancer of polycomb homolog 2  
6. DMAP1 – DNA methyltransferase 1‑associated protein 1  
7. ING3 – Inhibitor of growth family member 3  
8. MORF4L1 (MRG15) – Mortality factor 4‑like protein 1  
9. MRGBP – MRG‑binding protein  
10. YEATS4 (GAS41) – Glioma tumor‑suppressor candidate region gene 4 protein  
11. MBTD1 – MBT domain‑containing protein 1  
12. RUVBL1 (TIP49a) – RuvB‑like 1 (ATP‑dependent DNA helicase)  
13. RUVBL2 (TIP49b) – RuvB‑like 2 (ATP‑dependent DNA helicase)  
14. ACTL6A – Actin‑related protein 6A (BAF53A)  
15. EAF6 – ELL‑associated factor 6  

Self Confidence Score: 0.86",,,
COP9 Signalosome,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (primary focus)  
Homo sapiens (Human)

Complex name  
COP9 Signalosome (CSN)

Complex function  
• Deneddylation of cullin‐RING E3 ubiquitin ligases (CRLs) via its metalloprotease subunit (CSN5/Jab1)  
• Regulation of ubiquitin‐mediated proteolysis, cell‐cycle progression, DNA repair, and various signal‐transduction pathways

Subunit composition (proteins and corresponding genes)  
1. CSN1 (protein): COPS1 (gene)  
2. CSN2: COPS2  
3. CSN3: COPS3  
4. CSN4: COPS4  
5. CSN5 (Jab1): COPS5  
6. CSN6: COPS6  
7. CSN7A: COPS7A  
8. CSN7B: COPS7B  
9. CSN8: COPS8

(Although the stable holo‐complex is considered octameric, mammals express two paralogs for CSN7.)

Other organisms in which COP9 Signalosome is found  
• Mus musculus (Mouse)  
• Caenorhabditis elegans  
• Drosophila melanogaster  
• Saccharomyces cerevisiae

Self‑confidence score: 0.95  
• Consistency across databases/sources (0.30): 0.30  
• Experimental support (0.30): 0.29  
• Protein–gene mapping accuracy (0.25): 0.23  
• Specificity to the chosen organism (0.15): 0.13",,,
COP9 Signalosome,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: COP9 signalosome (CSN)  
Organism: Human  

Complex Function:  
The COP9 signalosome is an evolutionarily conserved eight‐subunit complex that regulates ubiquitin‐mediated protein degradation in human cells. Its primary biochemical activity is deneddylation of cullin subunits in cullin–RING E3 ubiquitin ligases (CRLs), thereby controlling CRL assembly, substrate ubiquitination and turnover. Through this deneddylase activity, CSN influences cell‐cycle progression, DNA damage responses, transcriptional programs and signal transduction pathways in human cells.

Proteins:  
• CSN1 (COPS1)  
• CSN2 (COPS2)  
• CSN3 (COPS3)  
• CSN4 (COPS4)  
• CSN5 (COPS5, also known as JAB1)  
• CSN6 (COPS6)  
• CSN7A (COPS7A)  
• CSN8 (COPS8)  

Genes:  
• COPS1  
• COPS2  
• COPS3  
• COPS4  
• COPS5  
• COPS6  
• COPS7A  
• COPS8  

Other Organisms:  
• Mus musculus (Mouse)  
• Drosophila melanogaster  
• Caenorhabditis elegans  
• Saccharomyces cerevisiae  

Self Confidence Score: 0.95",,,
COP9 Signalosome,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: COP9 Signalosome (CSN)  
Organism: Human  
Complex Function: CSN is an evolutionarily conserved eight‑subunit regulatory complex that catalyzes deneddylation of cullin‐RING ubiquitin ligases (CRLs). By removing the ubiquitin‑like modifier NEDD8 from cullins, CSN controls CRL assembly/disassembly, thereby regulating protein turnover in cell‐cycle progression, DNA damage response, signal transduction, and development.  

Proteins and Corresponding Genes (Homo sapiens):  
• CSN1 (COP9 signalosome subunit 1) – gene: COPS1  
• CSN2 (COP9 signalosome subunit 2, “Alien”) – gene: COPS2  
• CSN3 (COP9 signalosome subunit 3) – gene: COPS3  
• CSN4 (COP9 signalosome subunit 4) – gene: COPS4  
• CSN5 (JAB1; COP9 signalosome subunit 5) – gene: COPS5  
• CSN6 (COP9 signalosome subunit 6) – gene: COPS6  
• CSN7A (COP9 signalosome subunit 7A) – gene: COPS7A  
• CSN7B (COP9 signalosome subunit 7B) – gene: COPS7B  
• CSN8 (COP9 signalosome subunit 8) – gene: COPS8  

Other Organisms:  
• Mouse (Mus musculus)  
• Drosophila melanogaster  
• Caenorhabditis elegans  
• Saccharomyces cerevisiae  
• Arabidopsis thaliana (plant)  

Self Confidence Score: 0.95",,,
20S proteosome,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Homo sapiens  

Complex name:  
20S proteasome core particle  

Function:  
The 20S proteasome is the proteolytic core of the ubiquitin–proteasome system. It degrades unfolded, oxidized or ubiquitin‐tagged proteins into small peptides, thereby regulating protein quality control, cell‐cycle progression, signal transduction and stress responses.  

Subunit composition (28 total; α7β7β7α7):  
Alpha ring (7 unique α subunits):  
  • PSMA1 (Proteasome subunit alpha type‑1)  
  • PSMA2 (Proteasome subunit alpha type‑2)  
  • PSMA3 (Proteasome subunit alpha type‑3)  
  • PSMA4 (Proteasome subunit alpha type‑4)  
  • PSMA5 (Proteasome subunit alpha type‑5)  
  • PSMA6 (Proteasome subunit alpha type‑6)  
  • PSMA7 (Proteasome subunit alpha type‑7)  

Beta ring (7 unique β subunits):  
  • PSMB1 (Proteasome subunit beta type‑1; caspase‑like activity)  
  • PSMB2 (Proteasome subunit beta type‑2)  
  • PSMB3 (Proteasome subunit beta type‑3)  
  • PSMB4 (Proteasome subunit beta type‑4)  
  • PSMB5 (Proteasome subunit beta type‑5; chymotrypsin‑like activity)  
  • PSMB6 (Proteasome subunit beta type‑6; trypsin‑like activity)  
  • PSMB7 (Proteasome subunit beta type‑7)  

Corresponding genes:  
  • PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7  
  • PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7  

Other organisms in which the 20S proteasome is found (among common model species):  
  • Mus musculus (mouse)  
  • Caenorhabditis elegans (nematode)  
  • Drosophila melanogaster (fruit fly)  
  • Saccharomyces cerevisiae (budding yeast)  

Self‑confidence score rationale (total 1.00):  
  • Consistency across databases/sources (0.30): 0.30  
  • Supporting experimental data (0.30): 0.29  
  • Accuracy of protein–gene mapping (0.25): 0.25  
  • Organism specificity (0.15): 0.11  

Overall self‑confidence score: 0.95",,,
20S proteosome,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: 20S proteasome core complex  
Organism: Homo sapiens  

Complex Function:  
The 20S proteasome is the barrel‑shaped catalytic core of the ubiquitin–proteasome system. It carries out ATP‑independent proteolysis of damaged, misfolded or regulatory proteins into short peptides, contributes to protein quality control and supplies antigenic peptides for MHC class I presentation.  

Proteins (14 subunits):  
• Proteasome subunit alpha type‑1 (PSMA1)  
• Proteasome subunit alpha type‑2 (PSMA2)  
• Proteasome subunit alpha type‑3 (PSMA3)  
• Proteasome subunit alpha type‑4 (PSMA4)  
• Proteasome subunit alpha type‑5 (PSMA5)  
• Proteasome subunit alpha type‑6 (PSMA6)  
• Proteasome subunit alpha type‑7 (PSMA7)  
• Proteasome subunit beta type‑1 (PSMB6)  
• Proteasome subunit beta type‑2 (PSMB7)  
• Proteasome subunit beta type‑3 (PSMB3)  
• Proteasome subunit beta type‑4 (PSMB2)  
• Proteasome subunit beta type‑5 (PSMB5)  
• Proteasome subunit beta type‑6 (PSMB1)  
• Proteasome subunit beta type‑7 (PSMB4)  

Genes:  
PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7  

Other Organisms:  
This core complex is highly conserved in eukaryotes and is also found in Mus musculus, Drosophila melanogaster, Caenorhabditis elegans and Saccharomyces cerevisiae.  

Self Confidence Score: 0.91",,,
20S proteosome,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: 20S proteasome core particle  
Organism: Human  

Complex Function:  
The 20S proteasome is the proteolytic core of the ubiquitin–proteasome system. It forms a barrel‑shaped chamber of four heptameric rings (α7β7β7α7) that carries out ATP‑dependent degradation of ubiquitinated proteins into short peptides. This activity is essential for protein quality control, cell‑cycle regulation, signal transduction and antigen processing.  

Proteins and Genes (Human 20S core subunits):  
 Alpha‑ring (7 subunits)  
  • Proteasome subunit alpha type‑1 (PSMA1) – gene PSMA1  
  • Proteasome subunit alpha type‑2 (PSMA2) – gene PSMA2  
  • Proteasome subunit alpha type‑3 (PSMA3) – gene PSMA3  
  • Proteasome subunit alpha type‑4 (PSMA4) – gene PSMA4  
  • Proteasome subunit alpha type‑5 (PSMA5) – gene PSMA5  
  • Proteasome subunit alpha type‑6 (PSMA6) – gene PSMA6  
  • Proteasome subunit alpha type‑7 (PSMA7) – gene PSMA7  

 Beta‑ring (7 subunits)  
  • Proteasome subunit beta type‑1 (PSMB1; caspase‑like activity)  
  • Proteasome subunit beta type‑2 (PSMB2; trypsin‑like activity)  
  • Proteasome subunit beta type‑3 (PSMB3)  
  • Proteasome subunit beta type‑4 (PSMB4)  
  • Proteasome subunit beta type‑5 (PSMB5; chymotrypsin‑like activity)  
  • Proteasome subunit beta type‑6 (PSMB6)  
  • Proteasome subunit beta type‑7 (PSMB7)  

  Corresponding genes: PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7  

Other Organisms:  
This 20S core architecture is conserved across eukaryotes (Mus musculus, Saccharomyces cerevisiae, Caenorhabditis elegans, Drosophila melanogaster) and in archaeal species.  

Self Confidence Score: 0.95",,,
HCN1-HCN4 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Homo sapiens (Human)

Complex name:  
  HCN1–HCN4 heteromeric hyperpolarization‑activated cyclic nucleotide‑gated channel

Complex function:  
  • Mediates the “funny” current (If/Ih) in sinoatrial node myocytes and central neurons  
  • Contributes to pacemaking in the heart, regulation of heart rate  
  • Modulates neuronal excitability, rhythmic oscillations, and resting membrane potential

Proteins in the complex and their genes:  
  • HCN1 (UniProt Q9Y3Q4) – gene symbol HCN1  
  • HCN4 (UniProt Q9UL51) – gene symbol HCN4  

Other organisms in which HCN1–HCN4 heteromers have been reported (among those specified):  
  • Mus musculus (Mouse) – genes Hcn1, Hcn4

Self‑confidence score calculation (0.00–1.00):  
  • Consistency across databases/sources (0.30): 0.30  
  • Experimental support for HCN1/HCN4 coassembly (0.30): 0.28  
  • Accuracy of protein–gene mapping (0.25): 0.25  
  • Specificity to the primary organism (0.15): 0.15  
  Total = 0.98 → rounded to 0.95

Self‑confidence score: 0.95",,,
HCN1-HCN4 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: HCN1–HCN4 heteromeric channel complex  
Organism: Human  
Other Organisms: Mouse, Rat  

Complex Function:  
Mediates the hyperpolarization‑activated “funny” current (I_f) in cardiac sinoatrial node cells and contributes to rhythmic pacemaker activity. In neurons, it regulates resting membrane potential and input resistance, shaping excitability and rhythmic firing.  

Proteins:  
• Hyperpolarization‑activated cyclic nucleotide‑gated channel 1 (HCN1)  
• Hyperpolarization‑activated cyclic nucleotide‑gated channel 4 (HCN4)  

Genes:  
• HCN1  
• HCN4  

Self Confidence Score: 0.92",,,
HCN1-HCN4 complex,contextual,ChatGPT,"Mediates the hyperpolarization-activated “funny” current (Ih) in cardiac pacemaker cells and central neurons; heteromerization of HCN1 and HCN4 tunes activation kinetics, voltage dependence and cAMP sensitivity to regulate rhythmic firing and resting membrane potential.",Human,"Mouse, Rat","- Hyperpolarization-activated cyclic nucleotide-gated channel 1 (HCN1)  
- Hyperpolarization-activated cyclic nucleotide-gated channel 4 (HCN4)","HCN1, HCN4",0.94
