Complex Name,Organism,Complex Function,Proteins,Genes,Other Organisms,Self Confidence Score
,,,,,,
"AP-1 adaptor complex (HA1, HA1 clathrin adaptor) Complex Function: The AP-1 adaptor complex is involved in the recognition of sorting signals within the cytoplasmic tails of transmembrane cargo proteins and in the recruitment of clathrin to form clathrin-coated vesicles. This complex primarily mediates the transport of cargo between the trans-Golgi network (TGN) and endosomes. It plays a critical role in clathrin-mediated vesicular trafficking involved in protein sorting and membrane recycling.","Human Proteins: - AP1G1 (Adaptor-related protein complex 1 gamma 1 subunit) - AP1M1 (Adaptor-related protein complex 1 medium 1 subunit) - AP1S1 (Adaptor-related protein complex 1 sigma 1 subunit) - AP1B1 (Adaptor-related protein complex 1 beta 1 subunit) Genes: - AP1G1 - AP1M1 - AP1S1 - AP1B1 Other Organisms: Mouse, Drosophila melanogaster, Saccharomyces cerevisiae (with species-specific homologs performing functionally analogous roles) Self Confidence Score: 0.94",The AP-1 adaptor complex is involved in the recognition of sorting signals within the cytoplasmic tails of transmembrane cargo proteins and in the recruitment of clathrin to form clathrin-coated vesicles. This complex primarily mediates the transport of cargo between the trans-Golgi network (TGN) and endosomes. It plays a critical role in clathrin-mediated vesicular trafficking involved in protein sorting and membrane recycling. Organism: Human,- AP1G1 (Adaptor-related protein complex 1 gamma 1 subunit) - AP1M1 (Adaptor-related protein complex 1 medium 1 subunit) - AP1S1 (Adaptor-related protein complex 1 sigma 1 subunit) - AP1B1 (Adaptor-related protein complex 1 beta 1 subunit),#NAME?,"Mouse, Drosophila melanogaster, Saccharomyces cerevisiae (with species-specific homologs performing functionally analogous roles)",0.94
"AP-1 Adaptor Complex (HA1, HA1 Clathrin Adaptor)",Human,"The AP-1 adaptor complex is a heterotetrameric protein complex involved in the formation of clathrin-coated vesicles at the trans-Golgi network (TGN) and endosomes. It functions primarily in the sorting of membrane proteins by recognizing and binding specific sorting signals on cargo proteins, facilitating their incorporation into clathrin-coated vesicles destined for endosomes or the cell surface. The complex plays a critical role in intracellular trafficking, particularly in the transport between the TGN and endosomes, impacting receptor recycling, lysosomal enzyme targeting, and maintenance of lysosome-related organelles.",- AP-1 gamma-adaptin (γ-adaptin) - AP-1 beta-adaptin (β1-adaptin) - AP-1 medium chain (μ1 subunit) - AP-1 small chain (σ1 subunit),- AP1G1 (γ-adaptin) - AP1B1 (β1-adaptin) - AP1M1 (μ1 subunit) - AP1S1 (σ1 subunit),"The AP-1 adaptor complex is conserved across eukaryotes including Mouse, Drosophila melanogaster, Caenorhabditis elegans, and Saccharomyces cerevisiae, where it serves analogous roles in clathrin-mediated vesicular trafficking, although there can be isoform differences and variations in subunit composition depending on the species.",0.95
,,,,,,
PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae (Baker’s yeast),"The PAN1 complex functions primarily in the regulation of the actin cytoskeleton and endocytosis. PAN1 acts as a scaffold protein linking actin assembly factors and endocytic machinery, facilitating actin polymerization at sites of endocytosis. It is involved in coordinating actin patch formation, which is critical for membrane invagination and vesicle internalization. PAN1 also interacts with ubiquitination pathways that regulate actin dynamics.",- Pan1p (multifunctional adaptor/scaffold protein) - End3p (endocytosis protein 3) - Sla1p (SH3 domain-containing actin-binding protein),#NAME?,"The PAN1 complex is best characterized and most prominent in Saccharomyces cerevisiae. Homologous proteins exist in other fungi and some actin-regulatory complexes with similar functions exist in higher eukaryotes (e.g., humans), but the specific PAN1-End3-Sla1 complex organization is unique to budding yeast.","0.95 **Rationale for confidence scoring:** - Consistency across databases and literature (0.30 weight): PAN1 complex and its functional interaction with End3 and Sla1 in yeast is well-established and consistent (score ~0.29). - Supporting experimental data (0.30 weight): Extensive genetic, biochemical, and microscopy studies in S. cerevisiae confirm the complex’s composition and function (score ~0.29). - Protein-gene mapping accuracy (0.25 weight): Genes PAN1, END3, and SLA1 directly encode the named proteins with no ambiguity (score ~0.25). - Specificity to organism (0.15 weight): The complex is highly specific and most prominently studied in budding yeast, with limited direct equivalents in other organisms (score ~0.12). Total weighted confidence = (0.29 + 0.29 + 0.25 + 0.12) = 0.95"
PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae (budding yeast),The PAN1 complex in Saccharomyces cerevisiae serves as a critical regulator of the actin cytoskeleton involved in endocytosis. It facilitates actin patch formation by linking the cortical actin cytoskeleton to endocytic sites. PAN1 acts as a scaffold protein coordinating multiple interactions that promote actin filament nucleation and organization during clathrin-mediated endocytosis.,#NAME?,#NAME?,"The PAN1 complex is most prominently characterized in Saccharomyces cerevisiae. Homologous proteins and complexes exist in other fungi and eukaryotes (e.g., the Eps15 and intersectin family in mammals), but the PAN1 complex as defined is specifically a yeast complex. Analogous functional complexes exist in humans (involving Eps15, Intersectin, and other actin-regulatory proteins), but they are not direct homologous complexes termed PAN1.","0.94 Rationale for the score: - Consistency across databases and literature describing PAN1 in yeast is high (0.30 weight: ~0.29) - Substantial experimental data including genetic, biochemical, and imaging evidence underpin PAN1's role in actin regulation and endocytosis in yeast (0.30 weight: ~0.28) - Protein-gene mappings for PAN1, END3, SLA1 are well-established and unambiguous (0.25 weight: ~0.24) - Information is specific to the organism where PAN1 complex is best characterized, Saccharomyces cerevisiae, with clear caveats on homologous systems (0.15 weight: ~0.13)"
,,,,,,
AMPK complex (AMP-activated protein kinase),Human,"The AMPK complex acts as a central energy sensor that maintains cellular energy homeostasis. It is activated in response to increased AMP/ATP or ADP/ATP ratios during metabolic stress such as nutrient deprivation or hypoxia. Upon activation, AMPK phosphorylates a range of downstream targets to inhibit anabolic pathways (e.g., fatty acid and cholesterol synthesis) and activate catabolic pathways (e.g., glucose uptake, fatty acid oxidation) to restore ATP levels. It also influences gene expression related to metabolism, autophagy, and mitochondrial biogenesis.",#NAME?,"- PRKAA1 and PRKAA2 (encode AMPK alpha 1 and alpha 2 subunits respectively) - PRKAB1 and PRKAB2 (encode AMPK beta 1 and beta 2 subunits respectively) - PRKAG1, PRKAG2, PRKAG3 (encode AMPK gamma 1, gamma 2, and gamma 3 subunits respectively)","The AMPK complex is evolutionarily conserved and also found in Mouse, Caenorhabditis elegans, Drosophila melanogaster, and Saccharomyces cerevisiae, though with some subunit isoform variations and organism-specific regulatory nuances.",0.96
"AMP-activated protein kinase (AMPK) complex Complex Function: AMPK functions as a cellular energy sensor regulating energy homeostasis. It is activated in response to increased AMP/ATP ratio, triggering catabolic pathways that generate ATP and inhibiting anabolic processes that consume ATP, thereby restoring energy balance. AMPK also influences glucose uptake, fatty acid oxidation, mitochondrial biogenesis, and autophagy. In humans, it plays critical roles in metabolism, diabetes, cancer, and cardiovascular diseases.","Human Proteins: - AMPK alpha catalytic subunit (AMPKα1, AMPKα2) - AMPK beta regulatory subunit (AMPKβ1, AMPKβ2) - AMPK gamma regulatory subunit (AMPKγ1, AMPKγ2, AMPKγ3) Genes: - PRKAA1 (encoding AMPKα1) - PRKAA2 (encoding AMPKα2) - PRKAB1 (encoding AMPKβ1) - PRKAB2 (encoding AMPKβ2) - PRKAG1 (encoding AMPKγ1) - PRKAG2 (encoding AMPKγ2) - PRKAG3 (encoding AMPKγ3) Other Organisms: Also found in Mouse, Caenorhabditis elegans, Drosophila melanogaster, and Saccharomyces cerevisiae, but the complex is most extensively studied and characterized in humans due to its clinical relevance and isoform diversity. Self Confidence Score: 0.95 Rationale: - Consistency across databases (UniProt, Reactome, NCBI Gene, KEGG) and literature is very high (0.30 weighted: ~0.29) - Strong experimental evidence from biochemical, structural, and genetic studies in humans (0.30 weighted: ~0.29) - Protein-to-gene assignments are well established and extensively validated (0.25 weighted: ~0.24) - Analysis focused specifically on the human AMPK complex, avoiding overgeneralization (0.15 weighted: ~0.13)","AMPK functions as a cellular energy sensor regulating energy homeostasis. It is activated in response to increased AMP/ATP ratio, triggering catabolic pathways that generate ATP and inhibiting anabolic processes that consume ATP, thereby restoring energy balance. AMPK also influences glucose uptake, fatty acid oxidation, mitochondrial biogenesis, and autophagy. In humans, it plays critical roles in metabolism, diabetes, cancer, and cardiovascular diseases. Organism: Human",#NAME?,#NAME?,"Also found in Mouse, Caenorhabditis elegans, Drosophila melanogaster, and Saccharomyces cerevisiae, but the complex is most extensively studied and characterized in humans due to its clinical relevance and isoform diversity.","0.95 Rationale: - Consistency across databases (UniProt, Reactome, NCBI Gene, KEGG) and literature is very high (0.30 weighted: ~0.29) - Strong experimental evidence from biochemical, structural, and genetic studies in humans (0.30 weighted: ~0.29) - Protein-to-gene assignments are well established and extensively validated (0.25 weighted: ~0.24) - Analysis focused specifically on the human AMPK complex, avoiding overgeneralization (0.15 weighted: ~0.13)"
,,,,,,
Augmin complex,Human,"The Augmin complex is an essential multiprotein complex that facilitates microtubule-dependent microtubule nucleation within the mitotic spindle. It promotes the recruitment of the γ-tubulin ring complex (γ-TuRC) to existing spindle microtubules, enhancing spindle microtubule density and proper bipolar spindle assembly critical for accurate chromosome segregation during mitosis. This spindle amplification mechanism ensures efficient spindle formation independent of centrosomes.",#NAME?,"- HAUS1 - HAUS2 - HAUS3 - HAUS4 (FAM29A) - HAUS5 - HAUS6 - HAUS7 - HAUS8 Other Organisms where found: - Mouse (Mus musculus) - Drosophila melanogaster (homologous proteins exist with different nomenclature, e.g., Dgt family) - Caenorhabditis elegans (partial conservation) Not found in: Saccharomyces cerevisiae (no direct homologous complex identified in budding yeast) Self Confidence Score: 0.95 **Rationale for scoring:** - Consistency of information across databases/sources (0.30 weight): The presence and function of the Augmin complex subunits in human cells is highly consistent across sources such as UniProt, GeneCards, and literature (0.29). - Supporting experimental data (0.30 weight): Strong experimental studies using RNAi knockdowns, immunoprecipitation, and microscopy support complex composition and function in human cells (0.29). - Accuracy of protein-gene mapping (0.25 weight): Each HAUS protein corresponds unambiguously to the mentioned genes with well-defined sequences (0.24). - Organism specificity (0.15 weight): Information is specific to humans, the organism where Augmin is most prominently studied and clearly annotated with subunit nomenclature (0.13).",,"0.95 **Rationale for scoring:** - Consistency of information across databases/sources (0.30 weight): The presence and function of the Augmin complex subunits in human cells is highly consistent across sources such as UniProt, GeneCards, and literature (0.29). - Supporting experimental data (0.30 weight): Strong experimental studies using RNAi knockdowns, immunoprecipitation, and microscopy support complex composition and function in human cells (0.29). - Accuracy of protein-gene mapping (0.25 weight): Each HAUS protein corresponds unambiguously to the mentioned genes with well-defined sequences (0.24). - Organism specificity (0.15 weight): Information is specific to humans, the organism where Augmin is most prominently studied and clearly annotated with subunit nomenclature (0.13)."
"Augmin complex Complex Function: The Augmin complex nucleates microtubules within the mitotic spindle by recruiting γ-tubulin ring complexes (γ-TuRC) to preexisting spindle microtubules, promoting microtubule branching and facilitating spindle assembly and stability during mitosis. This function is critical for proper spindle formation and chromosome segregation.","Homo sapiens (Human) Proteins: HAUS1, HAUS2, HAUS3, HAUS4, HAUS5, HAUS6, HAUS7, HAUS8 Genes: HAUS1, HAUS2, HAUS3, HAUS4, HAUS5, HAUS6, HAUS7, HAUS8 Other Organisms: Mouse (Mus musculus), Drosophila melanogaster, Caenorhabditis elegans (though composition and nomenclature differ slightly), and plants; notably absent in Saccharomyces cerevisiae where it is not found. Self Confidence Score: 0.95 **Rationale for confidence score:** - Consistency across databases (0.30): Human Augmin complex composition and function are well-defined and consistent across sources such as UniProt, GeneCards, and primary literature. - Supporting experimental data (0.30): Numerous functional and structural studies (including RNAi and cryo-EM) validate the role of the complex in spindle microtubule nucleation in human cells. - Protein-gene mapping accuracy (0.25): Strong one-to-one correspondence between HAUS proteins and genes confirmed in genomic and proteomic databases. - Organism specificity (0.15): Analysis focused strictly on human Augmin complex, avoiding generalizations beyond this species.","The Augmin complex nucleates microtubules within the mitotic spindle by recruiting γ-tubulin ring complexes (γ-TuRC) to preexisting spindle microtubules, promoting microtubule branching and facilitating spindle assembly and stability during mitosis. This function is critical for proper spindle formation and chromosome segregation. Organism: Homo sapiens (Human)","HAUS1, HAUS2, HAUS3, HAUS4, HAUS5, HAUS6, HAUS7, HAUS8","HAUS1, HAUS2, HAUS3, HAUS4, HAUS5, HAUS6, HAUS7, HAUS8","Mouse (Mus musculus), Drosophila melanogaster, Caenorhabditis elegans (though composition and nomenclature differ slightly), and plants; notably absent in Saccharomyces cerevisiae where it is not found.","0.95 **Rationale for confidence score:** - Consistency across databases (0.30): Human Augmin complex composition and function are well-defined and consistent across sources such as UniProt, GeneCards, and primary literature. - Supporting experimental data (0.30): Numerous functional and structural studies (including RNAi and cryo-EM) validate the role of the complex in spindle microtubule nucleation in human cells. - Protein-gene mapping accuracy (0.25): Strong one-to-one correspondence between HAUS proteins and genes confirmed in genomic and proteomic databases. - Organism specificity (0.15): Analysis focused strictly on human Augmin complex, avoiding generalizations beyond this species."
,,,,,,
"Myb-MuvB transcriptional activation complex Complex Function: The Myb-MuvB complex acts primarily as a transcriptional activator that regulates cell cycle-dependent gene expression. It functions by promoting the expression of genes required for the G2/M phases of the cell cycle, thereby controlling progression from G2 phase to mitosis and ensuring proper cell division. The complex integrates cell cycle signals and coordinates the timing of mitotic gene activation.","Human (Homo sapiens) Proteins: - B-Myb (Myb proto-oncogene protein) - LIN9 (Lin-9 protein) - LIN37 (Lin-37 protein) - LIN52 (Lin-52 protein) - LIN54 (Lin-54 protein) - RBBP4 (Retinoblastoma-binding protein 4, also known as RbAp48) Genes: - MYBL2 (encodes B-Myb) - LIN9 - LIN37 - LIN52 - LIN54 - RBBP4 Other Organisms: The Myb-MuvB complex or its functional orthologs are also found in Mus musculus (mouse) and Drosophila melanogaster, functioning similarly in cell cycle gene regulation. In Caenorhabditis elegans, a related MuvB complex forms but with divergent components and functions. It is absent in Saccharomyces cerevisiae, as yeast uses different complexes for cell cycle gene regulation. Self Confidence Score: 0.93","The Myb-MuvB complex acts primarily as a transcriptional activator that regulates cell cycle-dependent gene expression. It functions by promoting the expression of genes required for the G2/M phases of the cell cycle, thereby controlling progression from G2 phase to mitosis and ensuring proper cell division. The complex integrates cell cycle signals and coordinates the timing of mitotic gene activation. Organism: Human (Homo sapiens)","- B-Myb (Myb proto-oncogene protein) - LIN9 (Lin-9 protein) - LIN37 (Lin-37 protein) - LIN52 (Lin-52 protein) - LIN54 (Lin-54 protein) - RBBP4 (Retinoblastoma-binding protein 4, also known as RbAp48)",- MYBL2 (encodes B-Myb) - LIN9 - LIN37 - LIN52 - LIN54 - RBBP4,"The Myb-MuvB complex or its functional orthologs are also found in Mus musculus (mouse) and Drosophila melanogaster, functioning similarly in cell cycle gene regulation. In Caenorhabditis elegans, a related MuvB complex forms but with divergent components and functions. It is absent in Saccharomyces cerevisiae, as yeast uses different complexes for cell cycle gene regulation.",0.93
"Myb-MuvB transcriptional activation complex' 'Complex Function: The Myb-MuvB complex serves as a critical transcriptional regulator that controls the expression of genes involved in cell cycle progression, especially the G2/M phase and mitotic genes. It functions primarily as an activator complex that binds to promoters of target genes to stimulate transcription, coordinating cell cycle-dependent gene expression. This activity is essential for proper cell proliferation and maintenance of genomic stability.' '","Human' 'Proteins: - B-MYB (Myb Proto-oncogene like 2) - LIN9 (Lin-9 DREAM MuvB core complex component) - LIN37 (Lin-37 DREAM MuvB core complex component) - LIN52 (Lin-52 DREAM MuvB core complex component) - LIN54 (Lin-54 DREAM MuvB core complex component) - RBBP4 (RB Binding Protein 4, histone-binding protein)' 'Genes: - MYBL2 (encodes B-MYB) - LIN9 - LIN37 - LIN52 - LIN54 - RBBP4' 'Other Organisms: Mouse, Drosophila melanogaster, Caenorhabditis elegans (notably as the DREAM complex with functional homology but variations in complex composition and function)' 'Self Confidence Score: 0.94'","The Myb-MuvB complex serves as a critical transcriptional regulator that controls the expression of genes involved in cell cycle progression, especially the G2/M phase and mitotic genes. It functions primarily as an activator complex that binds to promoters of target genes to stimulate transcription, coordinating cell cycle-dependent gene expression. This activity is essential for proper cell proliferation and maintenance of genomic stability.' 'Organism: Human' '","- B-MYB (Myb Proto-oncogene like 2) - LIN9 (Lin-9 DREAM MuvB core complex component) - LIN37 (Lin-37 DREAM MuvB core complex component) - LIN52 (Lin-52 DREAM MuvB core complex component) - LIN54 (Lin-54 DREAM MuvB core complex component) - RBBP4 (RB Binding Protein 4, histone-binding protein)' '",- MYBL2 (encodes B-MYB) - LIN9 - LIN37 - LIN52 - LIN54 - RBBP4' ',"Mouse, Drosophila melanogaster, Caenorhabditis elegans (notably as the DREAM complex with functional homology but variations in complex composition and function)' '",0.94'
,,,,,,
"CORVET tethering complex' 'Complex Function: The CORVET (Class C core vacuole/endosome tethering) complex is a multisubunit tethering complex involved primarily in the tethering and fusion of early endosomes, facilitating endosomal membrane trafficking and maturation. It acts as an effector of the small GTPase Rab5, coordinating membrane tethering prior to SNARE-mediated fusion events during early endosomal trafficking.' '","Saccharomyces cerevisiae' 'Other Organisms: Human, Mouse, Caenorhabditis elegans, Drosophila melanogaster (homologous complexes e.g., HOPS)' 'Proteins: Vps3, Vps8, Vps11, Vps16, Vps18, Vps33' 'Genes: VPS3, VPS8, VPS11, VPS16, VPS18, VPS33' Note: In S. cerevisiae, the CORVET complex shares four core subunits (Vps11, Vps16, Vps18, Vps33) with the related HOPS complex but differs in two subunits (Vps3 and Vps8), which are specific to CORVET and confer early endosomal specificity. This composition and function have been characterized extensively through genetic, biochemical, and microscopy studies. 'Self Confidence Score: 0.95'","The CORVET (Class C core vacuole/endosome tethering) complex is a multisubunit tethering complex involved primarily in the tethering and fusion of early endosomes, facilitating endosomal membrane trafficking and maturation. It acts as an effector of the small GTPase Rab5, coordinating membrane tethering prior to SNARE-mediated fusion events during early endosomal trafficking.' 'Organism: Saccharomyces cerevisiae' 'Other Organisms: Human, Mouse, Caenorhabditis elegans, Drosophila melanogaster (homologous complexes e.g., HOPS)' '","Vps3, Vps8, Vps11, Vps16, Vps18, Vps33' '","VPS3, VPS8, VPS11, VPS16, VPS18, VPS33' Note: In S. cerevisiae, the CORVET complex shares four core subunits (Vps11, Vps16, Vps18, Vps33) with the related HOPS complex but differs in two subunits (Vps3 and Vps8), which are specific to CORVET and confer early endosomal specificity. This composition and function have been characterized extensively through genetic, biochemical, and microscopy studies. 'Self Confidence Score: 0.95'","Human, Mouse, Caenorhabditis elegans, Drosophila melanogaster (homologous complexes e.g., HOPS)' 'Proteins: Vps3, Vps8, Vps11, Vps16, Vps18, Vps33' 'Genes: VPS3, VPS8, VPS11, VPS16, VPS18, VPS33' Note: In S. cerevisiae, the CORVET complex shares four core subunits (Vps11, Vps16, Vps18, Vps33) with the related HOPS complex but differs in two subunits (Vps3 and Vps8), which are specific to CORVET and confer early endosomal specificity. This composition and function have been characterized extensively through genetic, biochemical, and microscopy studies. '",0.95'
CORVET (Class C core vacuole/endosome tethering) complex,Saccharomyces cerevisiae (Baker’s yeast),"The CORVET complex is a multisubunit tethering complex involved in the early endosomal membrane tethering and fusion processes. It specifically coordinates homotypic fusion of early endosomes and the fusion of vesicles derived from the Golgi to early endosomes. The complex acts as a Rab5 effector (with Vps21 in yeast being the Rab5 homolog), facilitating membrane tethering prior to SNARE-mediated fusion. CORVET function is crucial for endosomal maturation and proper endocytic trafficking in yeast. Proteins and Corresponding Genes in S. cerevisiae: - Vps3 (Gene: VPS3) - Vps8 (Gene: VPS8) - Vps11 (Gene: VPS11) - Vps16 (Gene: VPS16) - Vps18 (Gene: VPS18) - Vps33 (Gene: VPS33) Notes: - Vps3 and Vps8 are specific to CORVET and differentiate it from the related HOPS complex. - Vps11, Vps16, Vps18, and Vps33 form the shared core structure between CORVET and HOPS complexes (Class C core). Other organisms: - CORVET complexes are also described in other eukaryotes including humans and Drosophila melanogaster, where orthologous complexes function in endosomal tethering. However, the most well-characterized and prominently studied CORVET complex with clear subunit composition and function comes from Saccharomyces cerevisiae. Self Confidence Score: 0.95 Rationale: - Consistency of information across databases and literature on yeast CORVET is high (0.30 * 1.0 = 0.30) - There is extensive experimental evidence from yeast genetics and biochemical studies elucidating CORVET structure and function (0.30 * 1.0 = 0.30) - Protein-gene mappings in yeast are well established and unambiguous (0.25 * 1.0 = 0.25) - The analysis is strictly focused on Saccharomyces cerevisiae, in which the CORVET complex is most studied/prominent (0.15 * 0.9 = 0.135) Total = 0.30 + 0.30 + 0.25 + 0.135 = 0.95",,,,"0.95 Rationale: - Consistency of information across databases and literature on yeast CORVET is high (0.30 * 1.0 = 0.30) - There is extensive experimental evidence from yeast genetics and biochemical studies elucidating CORVET structure and function (0.30 * 1.0 = 0.30) - Protein-gene mappings in yeast are well established and unambiguous (0.25 * 1.0 = 0.25) - The analysis is strictly focused on Saccharomyces cerevisiae, in which the CORVET complex is most studied/prominent (0.15 * 0.9 = 0.135) Total = 0.30 + 0.30 + 0.25 + 0.135 = 0.95"
** Sodium Leak Channel Complex (NALCN complex),** Human (Homo sapiens) **Complex Name:** Sodium Leak Channel Complex (NALCN complex),,,,,
Sodium leak channel complex Complex Function: This protein complex mediates a voltage-independent sodium (Na⁺) leak current that contributes to the resting membrane potential and regulates neuronal excitability. It plays a critical role in setting the baseline excitability of neurons and is involved in regulating circadian rhythms by modulating pacemaker neuron activity. The complex functions downstream from the molecular circadian clock to promote behavioral rhythmicity in Drosophila melanogaster.,"Drosophila melanogaster Proteins: - Narrow abdomen isoform F (Na channel homolog) - Uncoordinated 79 isoform B (Unc79 homolog) - Protein unc-80 homolog (Unc80 homolog) Genes: - na - unc79 - unc80 Other Organisms: - Human (NALCN, UNC79, UNC80) - Caenorhabditis elegans (homologous genes and proteins) Self Confidence Score: 0.92",This protein complex mediates a voltage-independent sodium (Na⁺) leak current that contributes to the resting membrane potential and regulates neuronal excitability. It plays a critical role in setting the baseline excitability of neurons and is involved in regulating circadian rhythms by modulating pacemaker neuron activity. The complex functions downstream from the molecular circadian clock to promote behavioral rhythmicity in Drosophila melanogaster. Organism: Drosophila melanogaster,- Narrow abdomen isoform F (Na channel homolog) - Uncoordinated 79 isoform B (Unc79 homolog) - Protein unc-80 homolog (Unc80 homolog),#NAME?,#NAME?,0.92
"Sodium leak channel complex Complex Function: The Sodium leak channel complex mediates a persistent, voltage-independent Na⁺ leak current responsible for setting the resting membrane potential and regulating neuronal excitability. It is crucial in controlling rhythmic behavioral outputs and homeostatic functions by modulating neuronal pacemaker activity, particularly in the central nervous system.","Drosophila melanogaster Proteins: - Narrow abdomen isoform F (Na channel protein) - Uncoordinated 79 isoform B (UNC79) - Protein unc-80 homolog (UNC80) Genes: - na (sodium leak channel gene) - unc79 - unc80 Other Organisms: - Human (homologous complex with NALCN, UNC79, and UNC80 proteins) - Caenorhabditis elegans (homologous complex components) Self Confidence Score: 0.92","The Sodium leak channel complex mediates a persistent, voltage-independent Na⁺ leak current responsible for setting the resting membrane potential and regulating neuronal excitability. It is crucial in controlling rhythmic behavioral outputs and homeostatic functions by modulating neuronal pacemaker activity, particularly in the central nervous system. Organism: Drosophila melanogaster",- Narrow abdomen isoform F (Na channel protein) - Uncoordinated 79 isoform B (UNC79) - Protein unc-80 homolog (UNC80),#NAME?,#NAME?,0.92
,,,,,,
ATG1 protein kinase complex Complex Function: The ATG1 complex is a serine/threonine protein kinase complex that plays a crucial role in the initiation of autophagy. It acts as a key regulator in response to nutrient starvation by promoting the formation of the pre-autophagosomal structure (PAS) and orchestrates downstream autophagy-related (Atg) proteins to initiate autophagosome biogenesis. The complex coordinates signal transduction to drive autophagy induction and is essential for cellular homeostasis under stress conditions.,"*Saccharomyces cerevisiae* (budding yeast) Proteins: - Atg1 (protein kinase) - Atg13 (regulatory subunit) - Atg17 (scaffold protein) - Atg29 - Atg31 Genes: - ATG1 - ATG13 - ATG17 - ATG29 - ATG31 Other Organisms: Related complexes with orthologous proteins exist in *Schizosaccharomyces pombe* (fission yeast), *Drosophila melanogaster*, *Caenorhabditis elegans*, *Mus musculus* (mouse), and *Homo sapiens* (humans), although the subunit composition and regulatory mechanisms show some differences (e.g., humans have the ULK1 complex, an orthologous functional homolog).",The ATG1 complex is a serine/threonine protein kinase complex that plays a crucial role in the initiation of autophagy. It acts as a key regulator in response to nutrient starvation by promoting the formation of the pre-autophagosomal structure (PAS) and orchestrates downstream autophagy-related (Atg) proteins to initiate autophagosome biogenesis. The complex coordinates signal transduction to drive autophagy induction and is essential for cellular homeostasis under stress conditions. Organism: *Saccharomyces cerevisiae* (budding yeast),#NAME?,0,"Related complexes with orthologous proteins exist in *Schizosaccharomyces pombe* (fission yeast), *Drosophila melanogaster*, *Caenorhabditis elegans*, *Mus musculus* (mouse), and *Homo sapiens* (humans), although the subunit composition and regulatory mechanisms show some differences (e.g., humans have the ULK1 complex, an orthologous functional homolog).",
ATG1 Protein Kinase Complex,Saccharomyces cerevisiae,"The ATG1 protein kinase complex in *S. cerevisiae* is essential for the initiation of autophagy, a conserved cellular degradation and recycling pathway. This complex integrates environmental signals, particularly nutrient availability, to regulate autophagosome formation. It phosphorylates downstream targets to promote recruitment of the autophagy machinery and coordinate membrane dynamics during autophagosome biogenesis.",- Atg1 (serine/threonine-protein kinase Atg1) - Atg13 (Autophagy-related protein 13) - Atg17 (Autophagy-related protein 17) - Atg29 (Autophagy-related protein 29) - Atg31 (Autophagy-related protein 31),0,"While ATG1 complexes are conserved broadly in eukaryotes, the specific composition described here is most well characterized and prominent in *Saccharomyces cerevisiae*. Homologous complexes exist in humans (ULK1 complex), mice, *Drosophila melanogaster*, and *Caenorhabditis elegans*, but they differ in component proteins and regulatory subunits.",0.95
,,,,,,
NXF1-NXT1 mRNA nuclear export factor complex,Human,"The NXF1-NXT1 complex functions as the principal nuclear export receptor for bulk mRNA transport from the nucleus to the cytoplasm in human cells. It binds mature messenger ribonucleoprotein particles (mRNPs) and facilitates their translocation through the nuclear pore complex (NPC). NXF1 (also known as TAP) serves as the mRNA export receptor, and NXT1 (also called p15) acts as its cofactor, stabilizing the complex and enhancing export efficiency. This complex recognizes processed mRNAs and interacts with nucleoporins to mediate selective transport, playing a critical role in gene expression regulation.",- Nuclear export factor 1 (NXF1/TAP) - Nuclear transport factor 2-like export factor 1 (NXT1/p15),0,"The NXF1-NXT1 complex is conserved and found in other eukaryotes, notably: - Mouse (Mus musculus) - Drosophila melanogaster - Caenorhabditis elegans - Saccharomyces cerevisiae (where functional homologs Mex67p and Mtr2p exist, analogous to NXF1 and NXT1 respectively)","0.96 **Rationale for Confidence Score:** - Consistency across databases and literature: High consistency in UniProt, NCBI, and reviewed publications regarding protein identity and function (0.30 weight). - Supporting experimental data: Multiple biochemical, genetic, and structural studies specifically in human cells support the function and composition of the complex (0.30 weight). - Protein-gene mapping: Clear one-to-one mapping between proteins and genes in humans (0.25 weight). - Organism specificity: The analysis focuses on human as the organism where the complex is most extensively characterized, with other organisms mentioned only for conservation context (0.15 weight)."
"NXF1-NXT1 mRNA nuclear export factor complex Complex Function: Facilitates the nuclear export of mRNA by binding to processed messenger RNAs in the nucleus and interacting with the nuclear pore complex to mediate their transport into the cytoplasm. It is a key component of the bulk mRNA export pathway, ensuring efficient and selective export of mature mRNAs in human cells.","Human Proteins: Nuclear export factor 1 (NXF1), Nuclear transport factor 2-like export factor 1 (NXT1) Genes: NXF1, NXT1 Other Organisms: Mouse, Caenorhabditis elegans, Drosophila melanogaster (orthologous complexes exist but with some functional divergence) Self Confidence Score: 0.95","Facilitates the nuclear export of mRNA by binding to processed messenger RNAs in the nucleus and interacting with the nuclear pore complex to mediate their transport into the cytoplasm. It is a key component of the bulk mRNA export pathway, ensuring efficient and selective export of mature mRNAs in human cells. Organism: Human","Nuclear export factor 1 (NXF1), Nuclear transport factor 2-like export factor 1 (NXT1)","NXF1, NXT1","Mouse, Caenorhabditis elegans, Drosophila melanogaster (orthologous complexes exist but with some functional divergence)",0.95
,** *Saccharomyces cerevisiae* (Baker's yeast),,,,,
